編號,通報時間,中文品名,英文品名,許可證字號,成分學名,劑型劑量,許可證持有藥商,短缺原因,預估解決時間,備註
97,2013.11.12,綠洲 氯黴素眼藥膏,CHLORAMPHENICOL OPHTHALMIC OINTMENT,衛署藥製字第004490號,CHLORAMPHENICOL,,綠洲化學工業有限公司,廠商產量不足,有同成分、不同劑型、同劑量藥品使用，暫無醫療問題,
98,2013.11.13,安米諾靜脈輸注液５％Ｗ？Ｖ,AMINOSTERIL 5% W/V FOR I.V. INFUSION,衛署藥輸字第020237號,"L-ALANINE, L-ARGININE, L-HISTIDINE, L-ISOLEUCINE, L-LEUCINE, L-LYSINE ACETATE, L-METHIONINE, ORNITHINE L- ASPARTATE L-, L-PHENYLALANINE, L-PROLINE, L-SERINE, L-THREONINE, L-TRYPTOPHAN, N-ACETYL TYROSINE L-, L-VALINE, GLYCINE (EQ TO AMINOACETIC ACID)(EQ TO GLYCOCOLL), TAURINE (EQ TO 2-AMINOETHANE SULFONIC ACID)",,臺灣費森尤斯卡比股份有限公司,原廠已經不再生產,經評估後，建議使用不同成分可替代藥品：(1)Aminoven 5% (2)Aminoplasmal-5% E   (臺灣費森尤斯卡比股份有限公司、臺灣柏朗股份有限公司),
127,20140220,,FLUOROURACIL INJECTION ,,FLUOROURACIL ,,,"藥品前因供藥短缺,暫以專案進口供應,健保署對進口藥品暫予納入給付1年,因給付期即將屆滿,故需再確認",目前市場供貨充足，有需求的醫院可自行向南光化學製藥或新加坡商美納里尼醫藥(英維達)訂藥，不需申請專案進口。,
128,20140220,,leucovorin INJECTION,,FOLINATE CALCIUM (CALCIUM LEUCOVORIN) ,,,"藥品前因供藥短缺,暫以專案進口供應,健保署對進口藥品暫予納入給付1年,因給付期即將屆滿,故需再確認",目前市場供貨充足，有需求醫院可自行向各供貨廠商訂藥，不需申請專案進口。,
99,2013.11.14,Ｂ型肝炎免疫人血球蛋白注射液,"HEPATITIS B IMMUNE GLOBULIN (HUMAN), HYPERHEP B S/D",衛署菌疫輸字第000452號,HEPATITIS B IMMUNOGLOBULIN,,天行貿易股份有限公司,該公司訂貨人員表示藥品已在藥檢署封緘中,有同成分、同劑型、同劑量藥品使用，暫無醫療問題,
100,2013.11.14,密鈣息鼻噴霧劑１００國際單位,MIACALCIC NASAL SPRAY 100I.U.,衛署藥輸字第018161號,CALCITONIN SALMON,,臺灣諾華股份有限公司,廠商無法供應此藥,有同成分，不同劑型、劑量藥品許可證使用，暫無醫療問題。,
101,2013.11.19,醫百幸注射劑20公絲/公撮,EPOSIN CONCENTRATE FOR INFUSION SOLUTION 20MG/ML,衛署藥輸字第023436號,ETOPOSIDE,100 mg/5 mL/vial,民橋企業股份有限公司,廠商缺藥,有同成分、同劑型、同劑量藥品使用，暫無醫療問題,
102,2013.11.19,米諾信乾粉注射劑100毫克(美諾四環素),"MIROSIN 100MG FOR INJECTION (MINOCYCLINE) ""PANBIOTIC""",衛署藥製字第034352號,MINOCYCLINE (HCL),10VIAL,臺灣汎生製藥廠股份有限公司,為符合PIC/S規定，廠區及生產線配合整修中，故無法製造,有同成分，不同劑型、劑量藥品許可證使用，暫無醫療問題。,
103,2013.11.20,硫酸奎尼丁膠囊,"QUINIDINE SULFATE CAPSULES ""NYSCO""",內衛藥製字第000990號,QUINIDINE SULFATE,,尼斯可股份有限公司新莊廠,廠商來函通知缺貨,經評估後，廠商預定102.12.13可供應。如如暫無藥品可用，建議使用不同成分可替代藥品：,
(1)Cordarone/amidarone,,,,,,,,,,
(2)Tambocor/ Flecainide acetate,,,,,,,,,,
(3)Rytmonorm /Propafenone,,,,,,,,,,
104,2013.11.22,寧黴素５００公絲靜脈注射劑,RIFOCIN INTRAVENOUS 500MG,衛署藥輸字第021956號,RIFAMYCIN SV (SODIUM),500mg/amp,賽諾菲股份有限公司,廠商停止進口藥品,經評估後，單一進口商表示已無存貨，未來亦不再進口，已徵得有意願供應之藥商,
105,2013.11.25,泛可黴素靜脈注射劑500公絲,"VANCOMYCIN HYDROCHLORIDE FOR INJECTION 500MG ,USP",衛署藥輸字第017742號,VANCOMYCIN (HCL),,新加坡商赫士睿股份有限公司台灣分公司,經銷商說國外廠缺原料,有同成分、同劑型、同劑量藥品使用，暫無醫療問題,
106,2013.12.03,好度得注射液,HALDOL DECANOAS,衛署藥輸字第019475號,HALOPERIDOL (DECANOATE),50MG/ML,嬌生股份有限公司,製造廠產能問題，2014年中以前可能有供貨短缺之問題,有同成分、同劑型、同劑量藥品使用，暫無醫療問題,
107,2013.12.03,好度注射液,HALDOL INJECTION,衛署藥輸字第019338號,HALOPERIDOL,5MG/ML,嬌生股份有限公司,製造廠產能問題，2014年中以前可能有供貨短缺之問題,有同成分、同劑型、同劑量藥品使用，暫無醫療問題,
108,2013.12.04,樂拿舒注射劑５０００ＫＵ,"LEUNASE INJECTION (5,000 K.U.)",衛署藥輸字第021036號,L-ASPARAGINASE,,台灣協和醱酵麒麟股份有限公司,廠商缺藥,"目前國內有專案進口Erwinia L-asparaginase 10,000 Units/vial",
109,2013.12.06,艾斯美特 延釋膠囊90毫克,ACEMET RETARD CAPSULES 90MG,衛署藥製字第046072號,ACEMETACIN,90 mg/cap,健喬信元醫藥生技股份有限公司,"TFDA公告須重作BA/BE品項,以致廠商不可交貨 ",有同成分，不同劑型、劑量藥品，暫無醫療問題,
110,2013.12.06,采福適膜衣錠,ZYVOX TABLETS 600MG,衛署藥輸字第023181號,LINEZOLID,600mg / Tablet,輝瑞大藥廠股份有限公司,國外製造廠供貨不及(因為國外轉廠) ,已恢復供貨,
111,2013.12.10,阿米若靜脈輸注液10％,AMINOSTERIL INFANT 10% W/V FOR INTRAVENOUS INFUSION,衛署藥輸字第022023號,"L-ALANINE, L-ARGININE, L-HISTIDINE, ISOLEUCINE DL-, L-LEUCINE, L-LYSINE ACETATE, L-METHIONINE, L-PHENYLALANINE, L-PROLINE, L-SERINE, L-THREONINE, L-TRYPTOPHAN, N-ACETYL TYROSINE L-, L-VALINE, GLYCINE (EQ TO AMINOACETIC ACID)(EQ TO GLYCOCOLL), N-ACETYL-L-CYSTEINE, TAURINE (EQ TO 2-AMINOETHANE SULFONIC ACID), MALIC ACID L-",10% 100ml/BT,臺灣費森尤斯卡比股份有限公司,廠商庫存沒有貨了,已恢復供貨,
112,2013.12.13,信可得關節注射液,"SHINCORT INJECTION ""YUNG SHIN""",衛署藥製字第011476號,TRIAMCINOLONE ACETONIDE,50mg/5cc/vial,永信藥品工業股份有限公司,廠商停產,有同成分、同劑型、同劑量藥品使用，暫無醫療問題,
113,2013.12.13,密鈣息注射液５０國際單位？公撮,MIACALCIC INJECTION 50 MRC-U/ML (50IU /ML),衛署藥輸字第016704號,CALCITONIN SALMON,50IU /ML,臺灣諾華股份有限公司,廠商缺貨,已恢復供貨,
119,20140101,緩釋鉀糖衣錠,slow-K tab 600 mg ,衛署藥輸字第010085號   ,potassium chloride,600 mg,臺灣諾華股份有限公司,原廠已經不再生產,市面上有仍有鉀離子補充劑，衛署藥製字第022314號，暫無醫療上問題。 ,
121,"20140108, 20140423","葡萄糖酸鈣注射液10%    ""C.C.P.C.""","葡萄糖酸鈣注射液10%    ""C.C.P.C.""",,CALCIUM GLUCONATE INJECTION 10%,200 ml,,考量成本，已不再生產,以Calglon IV injection 10% 10 mL替代,
123,20140116,安達菌素乾粉注射劑,Azactam 1g/vial,衛署藥輸字第023105號 ,Aztreonam,1 g/vial,臺灣必治妥施貴寶股份有限公司,必治妥已停產。另一台廠台裕化學亦回應不生產。,以不同成份藥品替代。Ceftazidime，Tobramycin ,
126,20140212,鋅錠１５公絲,"ZINC TABLETS 15MG ""GCPC",衛署藥製字第025124號 ,ZINC (ZINC SULFATE) ,15MG,人人化學製藥股份有限公司,停產,建議以zinc gluconate取代zinc sulfate，另外搭配ascorbic acid使用。,
114,2013.12.16,壓得平錠５公絲（阿米諾樂）,"EDEPIN TABLETS 5MG (AMILORIDE) ""SWISS""",衛署藥製字第040428號,"AMILORIDE HCL, AMILORIDE HCL ANHYDROUS",5mg/tab,瑞士藥廠股份有限公司,廠商目前已不再生產,國內目前無Amiloride單方與Triamterene單方供Liddle syndrome病人使用，建議啟動缺藥處理機制公開招商。,
115,2013.12.17,欽納特懸液劑１２５公絲,ZINNAT SUSPENSION 125MG,衛署藥輸字第019420號,CEFUROXIME AXETIL,"125 mg cefuroxime/5 mL, 50 mL/btl",荷商葛蘭素史克藥廠股份有限公司台灣分公司,廠商來文表示此產品將於民國103年停止進口,有同成分，不同劑型、劑量藥品，暫無醫療問題,
,,,,,,,,,,
116,2013.12.17,特泯菌靜脈注射劑,TIMENTIN INTRAVENOUS,衛署藥輸字第018882號,"TICARCILLIN (DISODIUM), CLAVULANATE (POTASSIUM)",,荷商葛蘭素史克藥廠股份有限公司臺灣分公司,原廠停止進口,經評估後，改用其他extended-spectrum penicillin/ß-lactamase inhibitor組合，例如piperacillin/tazobactam，或依菌種感受性選擇其他合適的抗生素。,
117,2013.12.19,核研去氧葡萄糖〔氟－１８〕注射劑,INER FLUDEOXYGLUCOSE {F-18} INJECTION,衛署藥製字第R00018號,,>3 mCi/mLInjection,行政院原子能委員會核能研究所,,經評估後，國內有不同成分藥品可替代藥：由符合「斷層掃描用正子放射同位素調製作業要點」之醫院藥局調劑，供病人使用。,
118,2013.12.25,泰吉利濃縮靜脈輸注液 300 毫克,Tysabri concentrate for solution for infusion 300mg,罕菌疫輸字第000014號,Natalizumab,,華宇藥品股份有限公司,"廠藥品中文包裝生產未完成,須延至103.2月中旬才可進口",經評估後，國內無其它同成分或類似產品。雖然可替代藥品有β-interferon、glatiramer acetate，以及免疫抑制劑等可供醫療，然而這些替代藥品與原藥之作用機轉不同，且目前並無替換後是否能接續穩定病患情況之臨床研究可供參考。故對於已經使用本品並治療穩定之患者，不建議停藥或是換藥故將督促原廠中文包裝儘速更換進行。,
120,20140102,可致律錠,Clozaril tab 25 mg ,衛署藥輸字第018541號 ,Clozapine,25 mg,臺灣諾華股份有限公司,而產地變更至新廠Kurtkoy/Turkey乙案目前仍在食品藥物管理局辦理當中 (案號：1015054172)，故擬暫時無法供應新廠藥品至國內。,同成分、同劑型、同劑量有許可證且持續供應有2家 (瑞士、汎生)。同成分，不同劑型、劑量有5家 (諾華、瑞士、汎生、信東、優生),
122,20140115,優良 磷酸鉀注射液,Potassium phosphate injection,衛署藥製021343號,"POTASSIUM PHOSPHATE (POSTASSIUM PHOSPHATE DIBASIC), POTASSIUM PHOSPHATE MONOBASIC(EQ TO POTASSIUM BIPHOSPHATE)(EQ TO POTASSIUM DIHYDROGEN PHOSPHATE)",20 ml/amp,優良化學製藥股份有限公司,優良化學製藥因GMP證明廢止,健喬信元已於102年併購優良化學製藥產品與藥證，經電話詢問健喬信元表示，目前potassium phosphate inj.仍正常供貨，無缺貨之虞。,
124,20140122,速溶 泛艾黴素１０公絲、５０公絲,Pharmorubicin rapid dissolution 10 mg and 50 mg,衛署藥輸字第019120號 ，衛署藥輸字第019119號 ,EPIRUBICIN HCL ,"10 mg, 50 mg",輝瑞大藥廠股份有限公司,原料藥供應短缺,建議可先以他廠同成份、同劑型、同劑量藥品替代,
125,20140122,貝靈 血清蛋白注射液２０％,Albumin Injection 20% 50 mL/btl (CENTEON) ,衛署菌疫輸字第000491號 ,albumin,50 ml,吉發企業股份有限公司,"吉發企業股份有限公司表示衛署菌疫輸字第000491號Albumin Injection 20% 50 mL/btl (CENTEON)之製造廠CSL Behring GmbH供貨不足,無法供應 ",建議以同成分、同劑型、同劑量藥品衛署菌疫輸字第000842號替代,
129,20140324,溶栓　凍晶注射劑２５萬單位,Streptase,衛署藥輸字第021926號,Streptokinase ,250000IU inj ,吉發企業股份有限公司,停產或停止進口,"streptokinase FDA labeled indications:AMI,DVT,PE,AT and Arteriovenous cannulation.可以使用替代藥品tenecteplase,Alteplase但價錢較昂貴，且有健保給付規範較受於限制；用於血液透析及通人工血管時可以urokinase或Heparin替代。",
130,20140403,必醫你舒５ＫＥ注射劑,PICIBANIL 5KE,衛署藥輸字第019924號,"PENICILLIN G POTASSIUM (BENZYLPENICILLIN POTASSIUM ), STREPTOCOCCUS PYROGENE SU STRAIN TX WITH PN G POTASSIUM ",凍晶乾燥注射劑,臺灣中外製藥股份有限公司,供需不平衡、供貨延遲,國內目前登記Streptococcus pyogenes之藥品許可證，只有中外製藥一張由於目前供需不平衡及供貨延遲，故可能造成藥物短缺為免於醫療中斷，建議以替代藥物minocycline50mg/cap或tetracycline250mg/cap治療,
131,20140415,脂倍坦膠囊,Olbetam ,衛署藥輸字第017140號 ,Acipimox ,250mg/Capsule ,輝瑞大藥廠(股)公司,供需不平衡、供貨延遲,可用Cholexamin Tables200 mg/tab(杏林)、Nidadd Sustained Release Tablets 500 mg/tab(世育)、Perycit Tablets 250 mg/tab(扶陞)替代(7/22與廠商聯絡，廠商回覆已正常供貨),
132,20140421,利保維源注射劑,lyo-povigent ,衛署藥字第039392號,"PANTHENOL D-(EQ TO D-PANTHENOL), VITAMIN A PALMITATE, BIOTIN, NIACINAMIDE (NICOTINAMIDE), THIAMINE HYDROCHLORIDE, RIBOFLAVIN PHOSPHATE SODIUM, PYRIDOXINE HCL, CYANOCOBALAMIN (VIT B12), FOLIC ACID, ASCORBIC ACID (VIT C), CHOLECALCIFEROL ( EQ TO VIT D3) ( EQ TO VITAMIN D3), TOCOPHEROL (ACETATE ALPHA DL- ), PHYTOMENADIONE(VIT K1) ",凍晶注射劑 ,中國化學製藥股份有限公司,生產線整合及安排,請視醫院存量調整臨床處方劑量至供貨正常，若有可使用三合一製劑的病人可視情況調整處方,
133,20140428,“華興”速可淨高氟牙齒塗佈凝膠,SCODYL DENTAL GEL“H.S.”,衛署藥製044337號,"SODIUM MONOFLUOROPHOSPHATE, SODIUM FLUORIDE ",牙科用凝膠劑 ,華興化學製藥廠股份有限公司,藥證到期、查驗登記未過或代理權變更         ,改以黃氏製藥股份有限公司生產的Standard-Fluor Dental Gel (史丹氟雙氟牙齒塗佈凝膠)(衛署藥製字第048702號)替代,
134,20140509,瑞安 福滿內服液劑,"FUMIDE OREAL SOLUTION 10MG/ML ""PURZER""",衛署藥製字第044046號,furosemide,"10 mg/mL, 120 mL/btl",瑞安大藥廠股份有限公司,機器故障暫無法生產,依病患使用需求條件容許下改以口服錠劑或注射方式為之。,
135,20140605,可體灌腸液１．６６７公絲？公撮（皮質醇）,"CORTEMA ENEMA 1.667MG/ML ""PURZER""",衛署藥製字第038075號 ,HYDROCORTISONE,外用液劑 ,瑞安大藥廠股份有限公司,生產線整合及安排,可考慮以口服或注射方式給予Hydrocortisone，Prednisolone或Dexamethasone，或使用含有Mesalazine成分之浣腸劑型或口服藥品。上述方式皆無法改善病患病況時，可考慮注射Humira (Adalimumab)。,
136,20140102  20140109,米諾信乾粉注射劑100毫克(美諾四環素),"Mirosin 100 mg for imjection ""Panbiotic""",衛署藥製字第034352號 ,minocycline,100 mg乾粉注射,臺灣汎生製藥廠股份有限公司,TFDA公告下架回收，國內已無藥廠生產,以同成份口服劑型及不同成份替代藥品 (依細菌敏感測試)使用,
137,20140109 20140117,,Methotrexate (MTX) 1 g/40 ml,,Methotrexate,1 g/ 40 ml,赫士睿、諾華,"因國外製廠產能因素,致缺貨",103年5月~7月間，有許可證廠商(赫士睿、諾華)已持續進口，無缺藥之虞,
138,20140221                                   20140306,白蛋白注射劑,Plasbumin-25,衛署菌疫輸字第000197號,ALBUMIN HUMAN ,12.5g/50mL/vial ,天行貿易股份有限公司,因國際貨源短缺，無法供貨。,可用TBSF (20%) Human albumin (台灣血液基金會)、Albiomin 20%(禾利行)替代,
139,"20140528, 20140630",第九凝血因子複合注射劑,Beriplex P/N ,衛署菌疫輸字第000520號 ,"Protein C, FACTOR II, FACTOR VII, FACTOR IX, FACTOR X, Protein S Antigen ",凍晶乾燥注射劑 ,吉發企業股份有限公司,該公司考量藥品成本高出健保給付價格，公司無法負荷成本，故已停止該藥品進口。,一般多使用在血友病患者發生抗體治療使用，臨床上可以Feiba及Novoseven替代使用。Beriplex N/P 少數情況下使用於類血友病(von Willebrand disease)治療，此類血友病目前臨床上亦可以Haemate P和Alphanate治療。,
140,20140605,紐普洛穿皮貼片劑 8 毫克/ 24 小時,Neupro Transdermal Patch 8mg/24h,衛署藥輸字第024936號 ,ROTIGOTINE ,穿皮貼片劑 ,友華生技股份有限公司,代理權變更,已通知恢復供應,
141,20140623,安博黴素注射劑５００公絲,Ampolin for Injection 500 mg ampicillin/vial,衛署藥製字第001853號,AMPICILLIN SODIUM ,500 mg ampicillin per vial/Injection ,永豐化學工業股份有限公司,健保停止給付,已於6/30恢復健保價,
142,20140623,永豐 芻基青黴素鈉注射液用粉,"PENICILLIN G SODIUM INJECTION ""Y.F.""",衛署藥製字第014756號,PENICILLIN G SODIUM ,乾粉注射劑 ,永豐化學工業股份有限公司,健保停止給付,已於6/30恢復健保價,
143,20140219,,Proglycem/Diazoxide ,無許可證,,,香港商艾維斯股份有限公司,因原廠將更換代理商，原代理商艾維斯已不再供貨，目前亦無庫存。,已找到可供應之廠商,
144,20140226,安挺樂 靜脈點滴注射劑 ,Actemra Solution for Infusion ,衛署菌疫輸字第000907號,Tocilizumab ,注射劑 ,臺灣中外製藥股份有限公司,"因有三個批號外盒標示錯誤,標示正確的產品最快要5-6週後才能到台灣,廠商表明3/1起病人之治療將被迫中斷",目前是80 mg/4 ml的外盒標示錯誤，200 mg/10 ml供應正常。,
145,20140324,配尼西林Ｖ片４０００００單位,Penicillin V Tablets,內衛藥製字第002479號,Penicillin V pot.,400000U,中國化學製藥股份有限公司,停產或停止進口,可用BICILLIN L-A DISPOSABLE SYRINGE、AMOXICILLIN TRIHYDRATE 替代,
149,20140307,景德 凱光錠６００公絲（帕芝奎）,kaicide tablets,衛署藥製字第029833號,PRAZIQUANTEL ,600  MG  ,景德製藥股份有限公司,PIC/S轉換,已恢復供貨,
,,,,,,,,,,
151,20131029,景德 欣舒敏眼藥膏,"Cindecason Ophthalmic Ointment ""Kingdom""",衛署藥製字第047717號,"NEOMYCIN SULFATE, DEXAMETHASONE SODIUM PHOSPHATE",點眼膏劑,景德製藥股份有限公司,停產(PIC/S改建),已恢復供貨,
153,20140505,比視朗眼藥膏,Pzulen eye ointment,衛署藥製字第008645號,"PREDNISOLONE, AZULENE ",點眼膏劑,綠洲化學工業有限公司,與PIC/S相關,可以黴露霜眼藥水(五福)、點必舒眼用懸浮劑(愛爾康)等藥品取代。,
146,20131105,巴斯德 五合一疫苗(白喉、百日咳、破傷風、小兒麻痺及b型流行性感冒嗜血桿菌疫苗),PediacelTM,衛署菌疫輸字第000821號,,1 dose/0.5 mL /vial,賽諾菲股份有限公司,廠商表示國外原廠缺貨無法交貨,經評估後，若病人有此自費需求，各醫院可用庫存自費3合1疫苗再加上其他單方疫苗先行替代；此外，國光生技有生產破傷風疫苗，疾管署有批2合1疫苗庫存(破傷風加白喉)可供使用。,
147,20140515,喜癒痔栓劑,"XYLMOL SUPPOSITORY ""SINPHAR""",衛署藥製字第022200號,"HYDROCORTISONE ACETATE, LIDOCAINE, ALUMINUM ACETATE, ZINC OXIDE ",栓劑 ,杏輝藥品工業股份有限公司,原物料缺貨,建議使用不同成分但適應症相似替代藥品：JETOO SUPPOSITORIES(明德)與POSULINE SUPPOSITORIES(培力)。,
148,20140423,鈣克康靜脈注射液,Calglon,衛署藥製字第058006號,Calcium gluconate 10% ,100 mg/ml /amp ,永豐化學工業股份有限公司,原料不足,Calglon/Calcium gluconate 10% 主要適應症為鈣的補充劑，可使用其他藥品暫時取代例如:Calcium Chloride,
150,20140630,四環黴素眼藥膏,TETRACYCLINE HCL,衛署藥製字第052555號        衛部藥製字第058129號          衛署藥製字第003697號 ,TETRACYCLINE HCL,眼藥膏,溫士頓醫藥股份有限公司,,,
人人化學製藥股份有限公司,,,,,,,,,,
綠洲化學工業有限公司,PIC/S相關,目前人人已通過PIC/S GMP查核,,,,,,,,
152,20131029,可而爽明眼藥膏,COLSAMIN EYE OINTMENT,衛署藥製字第006187號,"NEOMYCIN (SULFATE), DEXAMETHASONE SODIUM PHOSPHATE",點眼膏劑,綠洲化學工業有限公司,廠商缺貨,經評估後，建議以類似成份之改採其他aminoglycoside-corticosteroid的眼藥膏配方,
154,20140804,無,Synacthen,專案進口藥品,Tetracosactide Hexaacetate,V/IM 0.25 mg/mL/amp與Depot 1 mg/1 mL/amp ,台灣諾華股份有限公司,藥證到期、查驗登記未過或代理權變更,建議另專案進口美國FDA核准用於診斷腎上腺功能不全之其他廠牌的合成ACTH試劑，如 AMPHASTAR PHARMS INC 、MYLAN INSTITUTIONAL、SANDOZ 等品項,
155,20140210,景德 紅黴素眼藥膏 0.5%,Erythromycin oph oint 0.5% 3.5 g,衛署藥製字第047370號 ,ERYTHROMYCIN BASE,5.0 MG  ,景德製藥股份有限公司,PIC/S轉換,已恢復供貨,
156,20140210,景德 可利明眼藥膏1%(氯絲菌素),"CHLORLYMIN OPHTHALMIC OINTMENT 1% ""KINGDOM""",衛署藥製字第046069號  ,CHLORAMPHENICOL ,10.0MG  ,景德製藥股份有限公司,PIC/S轉換,已恢復供貨,
157,20140212,促甲狀腺激素釋放荷爾蒙注射液〝田邊〞,TRH inj,衛署藥輸字第016336號 ,PROTIRELIN(TRHTRF) ,0.5 MG/ML,臺田藥品股份有限公司,藥品許可證逾期不展延。,專案進口; 廠商預計2018年國外廠符合PIC/S,
158,20140212,黃體形成荷爾蒙分泌荷爾蒙注射液,LH-RH inj,衛署藥輸字第017275號 ,GONADORELIN ACETATE ,0.1 MG /ML,臺田藥品股份有限公司,藥品許可證逾期不展延。,專案進口; 廠商預計2018年國外廠符合PIC/S,
159,20140807,愛治膠囊５００公絲,HYDREA CAPSULES 500MG,衛署藥輸字第023135號,hydroxyurea ,500 mg/cap,臺灣必治妥施貴寶股份有限公司,供需不平衡、供貨延遲,已恢復供貨,
160,20141126,脈律循膠囊１００公絲〝信東〞,"MELETIN CAPSULES 100MG ""S.T."" (MEXILETINE)",衛署藥製字第043632號,Mexiletine,100mg / Cap,信東生技股份有限公司,供需不平衡、供貨延遲,12/22廠商說明已穩定供貨,
161,20140326,〝台灣東洋〞克痢黴素注射劑200萬單位（可麗基美壽）,T.T.Y. COLIMYCIN INJECTION,衛署藥製字第024961號,COLISTIN METHANESULFONATE,2000000 U ,臺灣東洋藥品工業股份有限公司,供需不平衡、供貨延遲,已穩定供貨,
