類別,藥品製造許可編號,藥品製造許可有效期限,名稱,地址,電話,監製藥師,核准劑型,核定品項,核定作業內容,備註
固體劑型：糖衣錠（膜衣錠、腸衣錠、錠劑、顆粒劑、散劑）、膠囊劑。,,,該廠於101年2月3日切結不再生產下列產品（依102年4月26日署授食字第1011103026號函）： 玉女寶膠囊（衛署藥製字第024246號）、康女舒糖衣錠（伊得蒙）（衛署藥製字第020846號）、髮茂露軟膏（衛署藥製字第017563號）、克炎膠囊250公絲（西華克樂）（衛署藥製字第037552號）。 ,,,,,,,
西藥製劑廠,(AP)0121052號,104年9月20日,應元化學製藥股份有限公司,台南市南區彰南里新忠路26號,06-2654883,,無菌製劑：,,,
注射液劑（無菌製備）、無菌眼耳鼻用液劑（眼用液劑/無菌製備）。,,,,,,,,,,
非無菌製劑：,,,,,,,,,,
液體劑型：溶液劑。,,,,,,,,,,
半固體劑型：軟膏劑（乳膏劑）。,,,,,,,,,,
固體劑型：糖衣錠（膜衣錠、錠劑、顆粒劑、散劑）、膠囊劑。,,,"該廠於101年2月3日切結不再生產下列產品（依102年5月24日署授食字第1021101016號函）： 安比西林注射劑500公絲（衛署藥製字第016481號）、安莫西林膠囊（衛署藥製字第014932號）、安比西林膠囊500公絲（胺卡青黴素）（衛署藥製字第026192號）、安莫西林膠囊500公絲（外銷專用）（衛署藥製字第045509號）、""應元"" 洛欣靜脈注射劑（衛署藥製字第046900號）、西華樂林注射劑（衛署藥製字第017833號）、賜福力欣膠囊（衛署藥製字第014171號）、""應元"" 施華多寧黴素膠囊500公絲（西華杜西）（衛署藥製字第025711號）、賜福力欣膠囊500公絲（衛署藥製字第036193號）、普密注射液１25公絲/公撮（己醯羥化黃體素）（衛署藥製字第025803號）、""應元"" 后保諾錠0.75公絲（外銷專用）（衛署藥製字第046445號）、""應元"" 適汝膜衣錠（衛署藥製字第047267號）、""應元""黃體素注射液25毫克（衛署藥製字第024953號）、""應元""經力錠（衛署藥製字第027055號）。 委託生產產品：安克西林膠囊（衛署藥製字第010415號）。 ",,,,,,,
西藥製劑廠,(AP)0059053號,103年12月30日,信東生技股份有限公司,桃園縣桃園市豐林里介壽路22號,03-3612131,,無菌製劑：液體劑型：,,,
注射液劑(最終滅菌、無菌製備)。,,,,,,,,,,
無菌眼耳鼻用液劑：眼用液劑(無菌製備)。,,,,,,,,,,
非無菌製劑：,,,,,,,,,,
固體劑型：糖衣錠(含膜衣錠、錠劑、散劑)、膠囊劑。,,,,,,,,,,
溶液劑。,,,,,,,,,,
貼劑。,,,"該廠於101年7月1日切結不再生產下列產品（依102年8月15日部授食字第1021100807號函）： 持續性荷爾蒙－Ｆ針（內衛藥製字第006061號）、持續性荷爾蒙－Ｍ針（內衛藥製字第006532號）、持續性兩性荷爾蒙ＭＦ針（內衛藥製字第006511號）、荷爾蒙－Ｆ針（內衛藥製字第002960號）、荷爾蒙－Ｍ針25公絲（內衛藥製字第003107號）、""信東"" 特復拉西膠囊（衛署藥製字第015217號）。  ",,,,,,,
西藥製劑廠,(AP)0078054號,104年2月8日,優生製藥廠股份有限公司,台中市南屯區工業區21路14 號,04-23593968,,非無菌製劑：,,,
液體劑型：懸液劑(溶液劑)。,,,,,,,,,,
半固體劑型：乳膏劑。,,,,,,,,,,
固體劑型：糖衣錠(膜衣錠、錠劑、散劑)、膠囊劑。,,,,,,,,,,
除生產一般劑型外，另生產女性荷爾蒙製劑（糖衣錠、錠劑）。 ,,,,,,,,,,
西藥製劑廠,(AP)0008055號,105年2月6日,台灣東洋藥品工業股份有限公司六堵廠,基隆市七堵區六堵里工建西路5號,02-2451-2466,,非無菌製劑：,,,
固體劑型：膜衣錠(錠劑)、膠囊劑。,,,該廠於102年8月5日切結不再生產下列產品（依102年8月14日部授食字第1021150147號函）：舒膚通乳膏（衛署藥製字第022192號）、舒膚通軟膏（衛署藥製字第022193號）、眼科用臨得隆複合軟膏（衛署藥製字第004974號）。 ,,,,,,,
西藥製劑廠,(AP)0434058號,105年5月17日,中國化學製藥股份有限公司新豐二廠 ,新竹縣新豐鄉上坑村2鄰坑子口182號,03-5599866,,非無菌製劑：,,,
固體製劑：膠囊劑（免疫抑制劑）。  ,,,,,,,,,,
西藥製劑廠,(AP)0217056號,104年4月27日,永勝藥品工業股份有限公司,嘉義縣民雄鄉頭橋工業區工業三路6之3號,05-2218686,,非無菌製劑：,,,
液體劑型：懸液劑(溶液劑)。,,,,,,,,,,
半固體劑型：軟膏劑(乳膏劑)。,,,,,,,,,,
固體劑型：糖衣錠(含膜衣錠、腸衣錠、錠劑)及膠囊劑。,,,,,,,,,,
除生產一般製劑外，另生產女性荷爾蒙類製劑(膜衣錠),,,,,,,,,,
西藥製劑廠,(AP)0042057號,104年3月9日,大豐製藥股份有限公司,彰化縣彰化市延平里岸頭巷11號,04-7138165,,無菌製劑：,,,
注射液劑(最終滅菌及無菌製備)。,,,,,,,,,,
非無菌製劑：,,,,,,,,,,
液體劑型：溶液劑。,,,,,,,,,,
半固體劑型：軟膏劑(含乳膏劑)。,,,,,,,,,,
固體劑型：膜衣錠(含錠劑、顆粒劑、散劑)、膠囊劑、栓劑。,,,,,,,,,,
除生產一般劑型外，另於獨立區域生產女性荷爾蒙製劑(注射液劑-最終滅菌)。,,,,,,,,,,
西藥製劑廠,(AP)0029059號,104年2月23日,衛達化學製藥股份有限公司,臺中市南屯區文山里工業區二十三路21號,04-23593847,,非無菌製劑：,,,
液體劑型：溶液劑。,,,,,,,,,,
半固體劑型：軟膏劑(乳膏劑)。,,,,,,,,,,
固體劑型：糖衣錠(膜衣錠、腸衣錠、錠劑、顆粒劑、散劑)、膠囊劑及栓劑。,,,,,,,,,,
西藥製劑廠,(AP)0361060號,104年7月27日,中生生技製藥股份有限公司淡水廠,新北市淡水區埤島里埤島路42之10號,02-26235507,,非無菌製劑：,,,
液體劑型：溶液劑。 ,,,,,,,,,,
半固體劑型：軟膏劑(含乳膏劑)。,,,,,,,,,,
固體劑型：膜衣錠(錠劑)、膠囊劑。,,,,,,,,,,
西藥製劑廠,(AP)0019061號,104年11月8日,榮民製藥股份有限公司,桃園縣中壢市中堅里中山東路三段447號,03-4651190,,非無菌製劑：,,,
液體劑型：懸液劑(含溶液劑)。,,,,,,,,,,
半固體劑型：軟膏劑(含乳膏劑)。,,,,,,,,,,
固體劑型：糖衣錠(含膜衣錠、錠劑、顆粒劑)、膠囊劑。,,,,,,,,,,
除生產一般劑型外，另生產青黴素類製劑(膠囊劑)。 ,,,,,,,,,,
西藥製劑廠,(AP)0336062號,104年5月18日,德山製藥股份有限公司 ,嘉義縣民雄鄉民雄工業區福樂村中山路38號,05-2209897,,貼劑、藥膠布。,,,
西藥製劑廠,(AP)0160063號,104年3月7日,張國周製藥股份有限公司中壢製藥廠 ,桃園縣中壢市中壢工業區定寧路9號,03-4528367,,非無菌製劑：,,,
固體劑型：散劑。,,,,,,,,,,
西藥製劑廠,(AP)0430064號,105年 4月19日,生發化學生技股份有限公司,臺中市霧峰區霧工三路11號,04-23327555,,非無菌製劑：,,,
液體劑型：溶液劑。  ,,,,,,,,,,
西藥製劑廠,(AP)0431065號,105年4月26日,躍欣生技醫藥股份有限公司,新竹縣湖口鄉中興村光復路10號,03-5973299,,非無菌製劑：,,,
固體劑型：膜衣錠(含錠劑、顆粒劑、散劑)、膠囊劑。 ,,,,,,,,,,
西藥製劑廠,(AP)0151066號,105年1月9日,光南製藥股份有限公司宜蘭廠,宜蘭縣宜蘭市黎明里黎明二路240號,039-382954,,非無菌製劑：,,,
液體劑型：溶液劑。,,,,,,,,,,
半固體劑型：乳膏劑。,,,,,,,,,,
固體劑型：錠劑(含散劑)、膠囊劑、棒劑。,,,,,,,,,,
西藥製劑廠,(AP)0433067號,105年7月10日,國嘉製藥工業股份有限公司幼獅三廠 ,台中市大甲區日南里工十路2號,04-26816828,,非無菌製劑：,,,
液體劑型：溶液劑。,,,,,,,,,,
半固體劑型：乳膏劑。,,,,,,,,,,
固體劑型：糖衣錠（含膜衣錠、錠劑、顆粒劑、散劑）、膠囊劑、栓劑。,,,,,,,,,,
西藥製劑廠,(AP)0286068號,106年1月9日,元宙化學製藥股份有限公司 ,南投縣南投市永豐里南崗三路272號,049-2253190,,非無菌製劑：,,,
液體劑型：溶液劑。 ,,,,,,,,,,
半固體劑型：軟膏劑（含乳膏劑）。 ,,,,,,,,,,
固體劑型：糖衣錠（含膜衣錠、錠劑、顆粒劑）、膠囊劑。,,,該廠於103年1月9日切結不再生產下列產品（依103年6月10日部授食字第1031102532號函）：頭孢子菌素類產品 「西法林膠囊 (衛署藥製字第023646號)」、 「西法林顆粒 (衛署藥製字第024008號)」及「科羅膠囊 (衛署藥製字第044128號)」。,,,,,,,
西藥製劑廠,(AP)0427069號,104年4月11日,澳斯麗國際股份有限公司淡水廠,新北市淡水區北新路三段123號之1號,02-26269945,,非無菌製劑：,,,
液體劑型：溶液劑。,,,,,,,,,,
半固體製劑：軟膏劑。 ,,,,,,,,,,
西藥製劑廠,(AP)0291070號,104年11月8日,合誠化學製藥股份有限公司,桃園縣平鎮市平鎮工業區工業十路15號,03-4696792,,液體劑型：溶液劑。,,,
固體劑型：糖衣錠(含膜衣錠、錠劑、散劑)、膠囊劑。,,,,,,,,,,
西藥製劑廠,(AP)0041071號,105年5月29日,中美兄弟製藥股份有限公司 ,彰化市東芳里彰鹿路106號,04-7524161,,非無菌製劑：,,,
液體劑型：懸液劑(含溶液劑)。 ,,,,,,,,,,
半固體劑型：軟膏劑(含乳膏劑)。 ,,,,,,,,,,
固體劑型：糖衣錠(含膜衣錠、錠劑、顆粒劑、散劑)、膠囊劑。,,,該公司於103年3月6日切結不生產下列品項，未經本部核准前不得生產，否則廢止製造許可：,,,,,,,
(一)女性荷爾蒙類產品：「賜達朗膠囊（衛署藥製字第028152號）」。,,,,,,,,,,
(二)頭孢子菌素類產品：「康復黴素膠囊250公絲（賜福力欣）（衛署藥製字第017630號）」。,,,,,,,,,,
(三)抗生素類產品：「鹽酸羥四環素膠囊（衛署藥製字第001165號）」、「鹽酸四環素膠囊（衛署藥製字第001785號）」、「紅黴素膠囊（衛署藥製字第010904號）」、「硫酸可麗西汀膠囊（衛署藥製字第021442號）」及「硬脂酸紅絲菌素膠囊（衛署藥製字第022439號）」等5項。,,,,,,,,,,
西藥製劑廠,(AP)0435072號,105年9月6日,士宣生技股份有限公司,新北市新莊區後港一路141號1樓及143號1樓,02-29087790,,無菌製劑：注射液劑（放射性藥品-無菌製備）。,,,
西藥製劑廠,(AP)0028085號,106年4月30日,人人化學製藥股份有限公司中壢廠,桃園縣中壢市南園二路三號,03-4524382,,無菌製劑： ,,,
無菌半固體劑型：眼藥膏（最終滅菌）。 ,,,,,,,,,,
非無菌製劑：,,,,,,,,,,
液體劑型：懸液劑（含溶液劑）。 ,,,,,,,,,,
半固體劑型：軟膏劑（含乳膏劑）。 ,,,,,,,,,,
固體劑型：錠劑。,,,,,,,,,,
西藥製劑廠,(AP)0437086號,105年12月27日,景德製藥股份有限公司桃園廠,桃園縣蘆竹市內厝里長安路一段80號、148號2樓至7樓,03-3215512,,無菌製劑： ,,,
無菌眼耳鼻用液劑：眼藥水（無菌製備）。,,,,,,,,,,
無菌半固體劑型：眼藥膏（無菌製備）。,,,,,,,,,,
西藥製劑廠,(AP)0442090號,106年6月25日,華健醫藥生技股份有限公司湖口廠,新竹縣湖口鄉鳳山村工業五路3號,03-6960011,,非無菌製劑：,,,
固體劑型：藥膠布及貼劑。,,,,,,,,,,
西藥製劑廠,(AP)04390991號,106年5月30日,得生製藥股份有限公司三廠,臺南市永康區王行里環工路63號,06-2311636,,非無菌製備：貼劑(含藥膠布)。,,,
西藥製劑廠,(AP)0042057號,106年2月12日,大豐膠囊工業股份有限公司,台中市潭子區中山路三段203號,04-25330801,,硬空膠囊,,,
西藥製劑廠,(AP)0293097號,106年1月22日,天乾製藥有限公司,臺南市將軍區忠興里忠興132之35號,06-7941788,,液體劑型：溶液劑。,,,
非無菌半固體劑型：軟膏劑(含乳膏劑)。 ,,,,,,,,,,
西藥製劑廠,(AP)0061101號,106年3月7日,台裕化學製藥廠股份有限公司,新竹縣竹東鎮員山路11巷13弄1號,03-5826655,,無菌製劑：,,,
注射液劑（最終滅菌）、乾粉注射劑（無菌製備）、滅菌懸液注射劑（最終滅菌）及灌洗用液劑（最終滅菌）。,,,,,,,,,,
　　　　　　　　,,,,,,,,,,
非無菌製劑：,,,,,,,,,,
固體劑型：膜衣錠（含錠劑、顆粒劑）、膠囊劑。,,,依103年12月31日部授食字第1031106322號函台裕化學製藥廠股份有限公司切結不生產下列產品：,,,,,,,
"(一)女性荷爾蒙類產品：「海格斯楚注射液（衛署藥製字第023424號）」、「""台裕""苯甲酸氫偶素注射液（衛署藥製字第013981號）」、「持效氫偶素注射液（衛署藥製字第014359號）」、「持效兩性荷爾蒙注射液（衛署藥製字第015632號）」、「已醯羥化黃體素注射液（衛署藥製字第015908號）」、「""台裕""黃體氫偶素注射液（衛署藥製字第019927號）」、「偶黃素注射液（衛署藥製字第029522號）」、「普樂蒙錠5公絲""台裕""（衛署藥製字第043890號）」及「""台裕""得安膠囊200毫克（單那若）（衛署藥製字第029470號）」；(二)頭孢子菌素類產品：「施華黴素注射劑（衛署藥製字第013573號）」、「施華黴素注射劑1公克（衛署藥製字第016477號）」、「""台裕""安服黴素注射劑1000公絲（西華定）（衛署藥製字第029245號）」、「""台裕""西福黴素注射劑750公絲（希福平）（衛署藥製字第029523號）」、「""台裕""希芬黴素注射劑1公克（西華定）（衛署藥製字第030897號）」、「""台裕""彩發如林黴素注射劑（西華樂林）（衛署藥製字第034172號）」、「彩發如林黴素注射劑（西華樂林）（衛署藥製字第034614號）」、「賜福美乾粉注射劑（使治他新鈉）（衛署藥製字第037384號）」、「洛普信乾粉注射劑（喜化樂信）（衛署藥製字第038316號）」、「喜龍乾粉注射劑（西弗匹拉隆）（衛署藥製字第039084號）」、「""台裕""美福平乾粉注射劑 0.25公克、0.5公克、1公克（衛署藥製字第049426號）」、「""台裕""希伏黴乾粉注射劑（衛署藥製字第050164號）」、「""台裕""賜福能乾粉注射劑 1公克、2公克（衛署藥製字第050176號）」、「施華露薪黴素膠囊（賜福力欣）（衛署藥製字第016474號）」、「立治黴素膠囊250公絲（西華治辛）（衛署藥製字第029524號）」、「""台裕""立法黴素膠囊500公絲（西華定）（衛署藥製字第029623號）」、「施華露薪黴素膠囊500公絲（賜福力欣）（衛署藥製字第030816號）」、「""台裕""立法黴素膠囊250公絲（西華定）（衛署藥製字第035519號）」、「""台裕""洛菲卡膠囊250公絲（西華克樂）（衛署藥製字第038657號）」及「""台裕""裕華顆粒500毫克/公克（賜福力欣）（衛署藥製字第037575號）」；(三)青黴素類產品：「""台裕""安比西林注射劑（衛署藥製字第013581號）」、「安比賽新黴素注射劑（衛署藥製字第015582號）」、「艾克露新黴素注射劑（衛署藥製字第015917號）」、「安比西林注射劑1公克（力價）/瓶（衛署藥製字第021223號）」、「""台裕""必舒妥黴素注射劑（衛署藥製字第049601號）」、「""台裕""艾復林靜脈乾粉注射劑（衛署藥製字第057398號）」、「艾摩喜林黴素膠囊（安莫西林）（衛署藥製字第021441號）」、「安必西林膠囊（衛署藥製字第021591號）」、「安比西林膠囊500公絲（胺苄青黴素）（衛署藥製字第023287號）」及「艾摩喜林黴素膠囊500公絲（安莫西林）（衛署藥製字第030811號）」。",,,,,,,,,,
西藥製劑廠,(AP)0056077號,105年5月10日,永豐化學工業股份有限公司新莊工廠,新北市新莊區新樹路292號,(02)22021112,,無菌製劑：,,,
注射液劑(無菌製備、最終滅菌)、灌洗用液劑(最終滅菌)。,,,,,,,,,,
除生產一般製劑外，另生產青黴素類(散劑、乾粉注射劑/無菌製備),,,該公司於103年9月16日永化工發(103)品字第141號函切結即日起不生產下列品項，務請確實執行，未經本部核准前不得生產，否則廢止本製造許可：,,,,,,,
"(一)頭孢子菌素類藥品：""永豐""賜復能注射劑(衛署藥製字第010892號)、""永豐"" 賜復能注射劑1公克(施華黴素)(衛署藥製字第023460號)及賜復壯注射劑(西弗匹拉隆)(衛署藥製字第032061號)。",,,,,,,,,,
"(二)動物用藥：""動物用""三水安莫西林(動物藥製第07411號)、""動物用""博通注射液(動物藥製第06210號)、""動物用""斯而比林注射液50%(動物藥製第03684號)、""動物用""永克得注射液(動物藥製第07128號)、""動物用""盤尼西林懸濁注射液30萬單位(動物藥製第06013號)、""動物用""安博黴素注射劑(動物藥製第00082號)、""動物用""鈣克康注射液50%(動物藥製第05940號)、""動物用""康必安─S針劑(動物藥製第00086號)、""動物用""德卡隆注射液(動物藥製第05952號)、""動物用""健黴素注射劑(動物藥製第00080號)、""動物用""羥四環素注射液(動物藥製第00081號)、""動物用""斯而比林注射液25%(動物藥製第05939號)、""動物用""豐畜寧散10%(動物藥製第07468號)、 ""動物用""豐畜寧散20%(動物藥製第07469號)、""動物用""萬博黴素水溶散(動物藥製第07954號)。",,,,,,,,,,
西藥製劑廠,(AP)0002075號,105年7月3日,回春堂製藥廠股份有限公司,桃園縣新屋鄉社子村二鄰社子8號,03-4775185,,非無菌製劑：,,,
液體劑型：懸液劑(含溶液劑)。,,,,,,,,,,
半固體劑型：乳膏劑。,,,,,,,,,,
固體劑型：糖衣錠(含膜衣錠、錠劑、顆粒劑、散劑)、膠囊劑、栓劑。,,,,,,,,,,
西藥製劑廠,(AP)0259082號,105年4月26日,安星製藥股份有限公司,新竹縣新豐鄉鳳坑村坑子口673號,03-5591158,,無菌製劑：,,,
注射液劑(最終滅菌)。,,,,,,,,,,
非無菌製劑：,,,,,,,,,,
固體劑型：錠劑、膠囊劑。,,,該廠切結不生產品項，詳見食品藥物管理署網站公告。,,,,,,,
西藥製劑廠,(AP)0395084號,105年11月27日,行政院原子能委員會核能研究所核醫製藥中心,桃園縣龍潭鄉佳安村文化路1000號,03-4711400,,無菌製劑(放射性藥品)：,,,
凍晶注射劑(無菌製備)。,,,,,,,,,,
注射液劑(最終滅菌、無菌製備)。,,,,,,,,,,
西藥製劑廠,(AP)0087073號,105年6月28日,衛生福利部食品藥物管理署管制藥品製藥工廠,新北市三峽區大同路287號,02-26735626,,無菌製劑：,,,
注射液劑(最終滅菌)。,,,,,,,,,,
非無菌製劑：,,,,,,,,,,
液體劑型：溶液劑。,,,,,,,,,,
固體劑型：膜衣錠(含錠劑)。 ,,,,,,,,,,
西藥製劑廠,(AP)0375093號,105年11月28日,佐藤製藥股份有限公司新竹廠,新竹縣湖口鄉湖南村光復北路7號,03-5984007,,非無菌製劑：,,,
液體劑型：溶液劑。,,,,,,,,,,
半固體劑型：軟膏劑(含乳膏劑)。,,,,,,,,,,
固體劑型：膜衣錠(含錠劑、顆粒劑)、膠囊劑。,,,,,,,,,,
西藥製劑廠,(AP)0296079號,105年6月19日,依必朗化學製藥股份有限公司,彰化縣福興鄉萬豐村福工路11號,04-765411,,液體劑型：溶液劑。,,,
西藥製劑廠,(AP)0091095號,106年3月13日,明大化學製藥股份有限公司,臺中市外埔區水美里水美路52號,04-26870115,,非無菌製劑：,,,
液體劑型：溶液劑。,,,,,,,,,,
半固體劑型：軟膏劑(含乳膏劑)。,,,,,,,,,,
固體劑型：糖衣錠(含膜衣錠、錠劑、顆粒劑、散劑)及膠囊劑。,,,,,,,,,,
西藥製劑廠,(AP)0253094號,106年2月21日,明通化學製藥股份有限公司第二廠,台中市南屯區寶山里工業區21路15號,04-23590107,,非無菌製劑：,,,
液體劑型：溶液劑。,,,,,,,,,,
半固體劑型：軟膏劑。,,,,,,,,,,
固體劑型：錠劑(含顆粒劑、散劑)、丸劑。,,,,,,,,,,
西藥製劑廠,(AP)0095078號,104年11月23日,明德製藥股份有限公司,桃園縣楊梅鎮瑞原里7鄰民富路二段360號,03-4723567,,非無菌製劑：,,,
液體劑型：溶液劑。,,,,,,,,,,
半固體劑型：軟膏劑(含乳膏劑)。,,,,,,,,,,
固體劑型：糖衣錠(含膜衣錠、錠劑、顆粒劑、散劑)、膠囊劑、栓劑。,,,,,,,,,,
西藥製劑廠,(AP)0016091號,105年7月19日,皇佳化學製藥股份有限公司,高雄市鳥松區坔埔里松埔路1巷1號,07-7310537,,非無菌製劑：,,,
液體劑型：懸液劑（含溶液劑）。,,,,,,,,,,
半固體劑型：軟膏劑（含乳膏劑）。,,,,,,,,,,
固體劑型：膜衣錠（含錠劑、顆粒劑）、膠囊劑及其他（含藥紗布）。,,,,,,,,,,
西藥製劑廠,(AP)0036098號,106年9月5日,國光生物科技股份有限公司 ,台中市潭子區潭興路一段3號,04-25381220,,無菌製備：注射液劑(無菌製備)。,,,
疫苗：,,,,,,,,,,
(1)“國光”日本腦炎疫苗(原液製造及調劑階段)。,,,,,,,,,,
(2)“國光”明礬沉澱破傷風類毒素(原液製造及調劑階段)。,,,,,,,,,,
(3)“安定伏”裂解型流感疫苗。,,,,,,,,,,
(4) 國光/北里流感疫苗(不含原液製造)。,,,,,,,,,,
(5)“安定伏”佐劑型流感疫苗。,,,,,,,,,,
臨床試驗用藥：,,,,,,,,,,
(1)“安定伏”新型流感疫苗(H5N1)。,,,,,,,,,,
(2)“安定伏”新型流感疫苗(H7N9)。,,,,,,,,,,
(3)“安定伏”裂解型單價B型流感疫苗。,,,,,,,,,,
(4)“安定伏”裂解型四價流感疫苗。,,,,,,,,,,
(5)“安定伏”四價流感疫苗。,,,該廠於103年12月28日切結不生產下列產品(依103年12月30日部授食字第1031105695號函)：停止尚未符合PIC/S GMP評鑑之廠房之產品生產 (包含「“國光ˮ 日本腦炎疫苗」及「“國光ˮ 明礬沉澱破傷風類毒素」之調劑與充填作業)。,,,,,,,
西藥製劑廠,(AP)0026083號,106年3月14日,順華藥品工業股份有限公司三峽工廠 ,新北市三峽區二鬮路186號,02-26725738,,非無菌製劑：,,,
液體劑型：溶液劑。,,,,,,,,,,
固體劑型：糖衣錠(含膜衣錠、錠劑、顆粒劑及散劑)、膠囊劑。,,,"該廠於103年9月18日切結不生產下列產品（依103年10月14日部授食字第1031105092號函）：「優庫利暖注射劑50毫克（衛署藥製字第009975號）」、「使可治壯凍晶注射劑（皮質醇琥珀酸醯）（衛署藥製字第031024號）」、「使可治壯凍晶注射劑300毫克（皮質醇琥珀酸鈉）（衛署藥製字第039606號）」及「""順華"" 長葉毛地黃苷注射液（衛署藥製字第047313號）」。",,,,,,,
西藥製劑廠,(AP)0213074號,104年11月9日,黃氏製藥股份有限公司,雲林縣斗南鎮大同路444巷11號,05-5971197,,非無菌製劑：,,,
液體劑型：溶液劑。,,,,,,,,,,
半固體劑型：軟膏劑（含乳膏劑）。,,,,,,,,,,
固體劑型：糖衣錠（含膜衣錠、錠劑、顆粒劑、散劑）及膠囊劑。,,,,,,,,,,
除生產一般製劑外，另於獨立區域生產女性荷爾蒙類製劑（乳膏劑）。,,,,,,,,,,
西藥製劑廠,(AP)0076088號,105年11月28日,新萬仁化學製藥股份有限公司,台中市豐原區文賢街158號,04-25269105,,非無菌製劑：,,,
液體劑型：溶液劑。,,,,,,,,,,
半固體劑型：軟膏劑(含乳膏劑)。,,,,,,,,,,
固體劑型：錠劑(含顆粒劑、散劑)、膠囊劑。,,,,,,,,,,
西藥製劑廠,(AP)0335092號,105年10月31日,新歷芳企業股份有限公司,台中市霧峰區吉峰路31號,04-23303305,,硬空膠囊。,,,
西藥製劑廠,(AP)0037096號,106年6月27日,溫士頓醫藥股份有限公司 ,台南市永康區塩洲里仁愛街117 號,06-2533124,,無菌製劑：,,,
無菌眼耳鼻用液劑（眼用懸液劑、眼用液劑、耳用液劑：皆為無菌製備）。,,,,,,,,,,
無菌半固體製劑：眼藥膏（無菌製備）。,,,,,,,,,,
非無菌製劑：,,,,,,,,,,
液體劑型：溶液劑。,,,,,,,,,,
半固體劑型：軟膏劑（含乳膏劑）。,,,,,,,,,,
固體劑型：膜衣錠（含錠劑、顆粒劑、散劑）、膠囊劑。,,,該廠於103年11月30日切結不生產下列產品 (依103年12月27日部授食字第1031106553號函)：停止舊廠區所有生產作業，包含特殊產品（青黴素類製劑、頭孢子菌素類製劑及性荷爾蒙類製劑）、糖衣錠、乾粉注射劑、注射液劑及懸液劑劑型產品。,,,,,,,
西藥製劑廠,(AP)0050076號,103年12月31日,葡萄王生技股份有限公司 ,桃園縣中壢市振興里龍岡路三段60號,03-4572121,,非無菌製劑：,,,
半固體劑型：乳膏劑。,,,,,,,,,,
西藥製劑廠,(AP)0352081號,105年5月17日,壽元化學工業股份有限公司 ,嘉義市西區湖內里新民路128號,05-2360636,,無菌製劑：,,,
注射液劑(最終滅菌)、滅菌懸液注射劑(最終滅菌)。,,,,,,,,,,
非無菌製劑：,,,,,,,,,,
液體劑型：溶液劑。,,,,,,,,,,
半固體劑型：軟膏劑(含乳膏劑)。,,,,,,,,,,
固體劑型：膜衣錠(含錠劑)、膠囊劑。,,,,,,,,,,
西藥製劑廠,(AP)0071087號,105年12月27日,福元化學製藥股份有限公司 ,新北市瑞芳區大寮路95之1號,02-24972872,,非無菌製劑：,,,
液體劑型：溶液劑。,,,,,,,,,,
半固體劑型：軟膏劑（含乳膏劑）。,,,,,,,,,,
固體劑型：糖衣錠（含膜衣錠及錠劑）、膠囊劑。,,,該廠於103年3月3日切結不生產下列產品 (依103年12月10日部授食字第1031105583號函)：「健胃散(內衛藥製字第004777號)」。,,,,,,,
西藥製劑廠,(AP)0368100號,106年2月26日,羅得化學製藥股份有限公司,臺中市大甲區東西七路一段65號,04-26882666,,非無菌製劑：,,,
液體劑型：懸液劑(含溶液劑)。,,,,,,,,,,
半固體劑型：軟膏劑(含乳膏劑)。,,,,,,,,,,
固體劑型：膜衣錠(含錠劑、顆粒劑、散劑)、膠囊劑。,,,"依103年12月31日部授食字第1031106622號函羅得化學製藥股份有限公司切結不生產下列產品：(一) 頭孢子菌素類產品：「克服樂膠囊250公絲（頭孢可若）""羅得""（衛署藥製字第041727號）」；(二)抗生素類產品：「立化黴素膠囊300公絲（立汎黴素）（衛署藥製字第031234號）」、「鹽酸羥四環素膠囊250公絲（衛署藥製字第031270號）」、「鹽酸四環素膠囊500公絲（衛署藥製字第033932號）」、「立克勝膠囊500公絲（鹽酸林絲菌素）（衛署藥製字第031290號）」、「鹽酸氯四環素膠囊250公絲（衛署藥製字第031545號）」、「克得黴素膠囊300公絲（克林達黴素）（衛署藥製字第036072號）」、「克得黴素膠囊150公絲（克林達黴素）（衛署藥製字第033960號）」。",,,,,,,
西藥製劑廠,(AP)0436080號,105年12月26日,科進製藥科技股份有限公司新竹廠,新竹縣竹北市東海里生醫路2段22、26號4樓,03-6579962,,非無菌製劑：,,,
液體劑型：懸液劑(含溶液劑)。,,,,,,,,,,
固體劑型：膜衣錠(含錠劑)、膠囊劑。,,,,,,,,,,
西藥製劑廠,(AP)0189102號,105年10月16日,美西製藥有限公司,高雄市仁武區仁武里工業一路9號,07-3711234,,非無菌製劑：,,,
液體劑型：懸液劑(含溶液劑)。,,,,,,,,,,
半固體劑型：軟膏劑(含乳膏劑)。,,,,,,,,,,
固體劑型：錠劑(含顆粒劑及散劑)、膠囊劑。,,,該公司聲明停止下列產品：,,,,,,,
(一)女性荷爾蒙類產品「芙麗蓉美凝膠0.6公絲/公克(衛署藥製字第036467號)」。,,,,,,,,,,
(二)無菌眼耳鼻用液劑劑型(眼用液劑/無菌製備)產品。,,,,,,,,,,
原料藥廠,(C)0029008號,104年01月17日,國鼎生物科技股份有限公司淡水廠,新北市淡水區中正東路一段3巷9、11、13、15、17、31號10樓,(02)2626-1810,,,臨床試驗用原料藥—安卓奎諾爾（Antroquinonol）,,
