認證編號,實驗室名稱,實驗室地址,實驗室電話,實驗室網站,通過日期,認證項目,公告資訊名稱,公告資訊連結,認證證書連結
042,彰化縣衛生局(檢驗科實驗室),50049 彰化市中山路2段162號,(04) 711-5141,http://www.chshb.gov.tw/,102.12.27,硼酸及其鹽類、咖啡因、過氧化氫、甜味劑、著色劑、二氧化硫(食品)、維生素E、防腐劑,衛生福利部食品藥物管理署102年12月27日FDA風字第1021151900號,http://172.16.0.45/upload/133/2014010710341015547.pdf,http://www.fda.gov.tw/TC/includes/GetFile.ashx?mID=133&id=27704&chk=43add57e-4542-46fe-a623-6ca9ae6ba472
043,嘉義市政府衛生局(檢驗科實驗室),60097 嘉義市西區德明路1號,(05) 233-8066,http://www.cichb.gov.tw/news/index.asp?flag-script=A,102.12.27,亞硝酸鹽、過氧化氫、殘留農藥(四)、防腐劑、硼酸及其鹽類,衛生福利部食品藥物管理署102年12月27日FDA風字第1021151898號,http://172.16.0.45/upload/133/2014010710353698198.pdf,http://172.16.0.45/upload/133/2014010710415027131.pdf
045,詮昕科技股份有限公司(詮昕科技股份有限公司實驗室),43449台中市龍井區遠東街60號1樓,(04) 2633-8389,,104.01.13,黃麴毒素、防腐劑、二氧化硫(食品)、過氧化氫、橘黴素、順丁烯二酸、丙酸,衛生福利部104年01月13日部授食字第1041100069B號,http://www.fda.gov.tw/TC/includes/GetFile.ashx?mID=133&id=33925&chk=8ccf6f7a-a413-4c36-90c5-9819d58de5a3,http://www.fda.gov.tw/TC/includes/GetFile.ashx?mID=133&id=5802&chk=a4e8681f-9ffa-4e61-a705-933a7314a65f
046,永信藥品工業股份有限公司(檢驗實驗室),43769台中市大甲區日南里工九路27號,(04) 2681-5181,http://www.ysp.com.tw/ysp/index.aspx,103.06.03,生菌數、大腸桿菌、大腸桿菌群、黴菌及酵母菌、阪崎腸桿菌,衛生福利部103年06月03日部授食字第1031102585號,http://www.fda.gov.tw/TC/includes/GetFile.ashx?mID=133&id=30083&chk=e2ae718b-0c79-4b9f-9b18-d97e17e61c7f,http://www.fda.gov.tw/TC/includes/GetFile.ashx?mID=133&id=5803&chk=470eb9c4-468f-4ccf-a43e-ea1927835bd2
047,杏輝藥品工業股份有限公司(測試實驗室),26944宜蘭縣冬山鄉中山村84號,(03) 958-1101,http://www.sinphar.com/center/introduction.html,103.08.15,三聚氰胺,衛生福利部103年08月15日部授食字第1031103941號,http://www.fda.gov.tw/TC/includes/GetFile.ashx?mID=133&id=30932&chk=86fccb4b-54a0-47be-8820-a56d1f1efc3f,http://www.fda.gov.tw/TC/includes/GetFile.ashx?mID=133&id=30933&chk=57af6267-e399-4bde-86e4-751591126a0a
048,臺北市政府衛生局(檢驗室),11267臺北市北投區石牌路2段111號,(02) 2828-0102,http://www.health.gov.tw/,103.09.24,大腸桿菌、大腸桿菌群、生菌數、抗氧化劑、三聚氰胺、亞硝酸鹽、過氧化氫、防腐劑、塑化劑、包裝飲用水中重金屬(鉛、鋅、銅、鎘、砷、汞),衛生福利部食品藥物管理署103年09月24日部授食字第1031104664號,http://www.fda.gov.tw/tc/includes/GetFile.ashx?mID=19&id=31651&chk=d495c5eb-14bd-4acf-817a-b734a59a90f6,http://www.fda.gov.tw/TC/includes/GetFile.ashx?mID=133&id=5730&chk=fde736a0-aaee-4bbd-8499-416a4bfd03ba
049,基隆市衛生局(檢驗科實驗室),20647基隆市七堵區工建路2號,(02) 2452-9859,http://www.klchb.gov.tw/ch/00_home/home2.aspx,103.11.21,過氧化氫、硼酸及其鹽類、甜味劑、著色劑、二氧化硫(食品)、丙酸、防腐劑、食用菇類重金屬(鉛、鎘)、包裝飲用水中重金屬(汞、銅、鋅、鉛、鎘、砷),衛生福利部食品藥物管理署103年11月21日部授食第1031105838號,http://www.fda.gov.tw/TC/includes/GetFile.ashx?mID=133&id=32947&chk=9701c0b2-8810-4807-a961-bdd960076562,http://www.fda.gov.tw/TC/includes/GetFile.ashx?mID=133&id=5731&chk=0009c60a-39ac-4203-ae30-2061dd56fcc0
051,高雄市政府衛生局(檢驗科實驗室),802 高雄市苓雅區凱旋二路132-1號7樓、8樓,(07) 713-4000,http://www.kcg.gov.tw/,103.03.18,重金屬(銅、鋅)、亞硝酸鹽、硼酸及其鹽類、黴菌及酵母菌、大腸桿菌群、生菌數、糞便性鏈球菌、綠膿桿菌、金黃色葡萄球菌、防腐劑、維生素E、甜味劑、過氧化氫、農藥殘留(三)(四)、仙人掌桿菌、四環黴素、大腸桿菌、動物用藥-多重殘留分析(二),衛生福利部103年03月18日部授食字第1031101212號,http://www.fda.gov.tw/TC/includes/GetFile.ashx?mID=133&id=28969&chk=0a33ff44-e2be-4c52-88a9-18bdadd3bbeb,
052,臺南市政府衛生局(檢驗科),73064臺南市新營區東興路163號,(06) 632-2120,http://health.tainan.gov.tw/tnhealth/,103.11.17,乙型受體素類、二氧化硫(食品)、防腐劑、硼酸及其鹽類、亞硝酸鹽、重金屬-汞(食米)、甜味劑、過氧化氫(食品) ,衛生福利部103年11月17日部授食字第1031105766號,http://www.fda.gov.tw/tc/includes/GetFile.ashx?mID=19&id=32778&chk=8386b8a5-129d-4a18-9e56-e528edbdfda8,http://www.fda.gov.tw/TC/includes/GetFile.ashx?mID=133&id=21134&chk=045cbe13-412d-4f41-981c-4f3c4fea15d3
053,臺中市政府衛生局(檢驗科實驗室),42053臺中市豐原區中興路136號,(04) 2526-5394,http://www.health.taichung.gov.tw/internet/main/index.aspx,103.11.21,過氧化氫(食品)、硼酸及其鹽類、殘留農藥(四)、防腐劑、殘留農藥(二)、赭麴毒素A、橘黴素,衛生福利部食品藥物管理署103年11月21日部授食第1031105842號,http://www.fda.gov.tw/TC/includes/GetFile.ashx?mID=133&id=32946&chk=480b581d-e3fb-4187-a84a-5cb61414c698,http://www.fda.gov.tw/TC/includes/GetFile.ashx?mID=133&id=5980&chk=5d03d27b-a33a-4bc0-aba0-19c0a17c4380
054,桃園市政府衛生局(衛生稽查檢驗科實驗室),33084桃園市中壢區溪州街296號4樓,(03) 433-1025,http://www.tychb.gov.tw/big5/default.asp,103.12.30,過氧化氫、二氧化硫(食品)、生菌數、大腸桿菌群、綠膿桿菌、糞便性鏈球菌、硼酸及其鹽類、著色劑、防腐劑、甜味劑、咖啡因、大腸桿菌、四環黴素類、抗原蟲劑、氯黴素類,衛生福利部103年12月30日部授食字第1031106609號,http://www.fda.gov.tw/TC/includes/GetFile.ashx?mID=133&id=33666&chk=56fb7f31-ad91-4fb5-a453-5963d2fc72a7,http://www.fda.gov.tw/TC/includes/GetFile.ashx?mID=133&id=33668&chk=4607bdb9-0d02-41fe-bef6-ec6b061206c5
055,雲林縣衛生局(檢驗科實驗室),64054雲林縣斗六市府文路34號,(05) 533-0556,http://www.ylshb.gov.tw/,103.10.13,生菌數、大腸桿菌、大腸桿菌群、過氧化氫、甜味劑、防腐劑、亞硝酸鹽、糞便性鏈球菌(包裝飲用水)、綠膿桿菌(包裝飲用水)、大腸桿菌群(包裝飲用水)、二氧化硫(食品)、抗氧化劑、丙酸、硼酸及其鹽類、溶出試驗(酚)、溶出試驗(甲醛)、溶出試驗(三聚氰胺)、溶出試驗(蒸發殘渣) ,衛生福利部103年10月13日部授食字第1031104867號,http://www.fda.gov.tw/TC/includes/GetFile.ashx?mID=133&id=31945&chk=72eb5543-8604-4728-b3c4-daebeca83127,http://www.fda.gov.tw/TC/includes/GetFile.ashx?mID=133&id=5801&chk=6f8270e7-12ce-44da-95c6-0c6da50e4284
057,財團法人台灣電子檢驗中心(綠色產品測試實驗室),33383桃園縣龜山鄉文明路29巷8號,(03) 328-0026,http://www.etc.org.tw/cubekm/front/bin/home.phtml,102.08.07,塑化劑,衛生福利部食品藥物管理署102年08月07日FDA風字第1021150238號,http://www.fda.gov.tw/TC/includes/GetFile.ashx?mID=133&id=25047&chk=b76aa97a-568f-4656-b47b-308922d263f1,http://www.fda.gov.tw/TC/includes/GetFile.ashx?mID=133&id=5736&chk=887fab90-f3a1-4893-9bee-51c5898d0a8d
058,新北市政府衛生局(檢驗科實驗室),220新北市板橋區英士路192-1號,(02)2257-7155,http://www.health.ntpc.gov.tw/,102.05.02,殘留農藥(四)、生菌數、大腸桿菌群、大腸桿菌、金黃色葡萄球菌、沙門氏桿菌、著色劑、甜味劑、硼酸及其鹽類、過氧化氫、防腐劑,行政院衛生署102年05月02日署授食字第1021101366號,http://www.fda.gov.tw/TC/includes/GetFile.ashx?mID=133&id=23676&chk=d7dc7338-17a3-4fd1-bf89-2388b8281332,http://www.fda.gov.tw/TC/includes/GetFile.ashx?mID=133&id=29455&chk=3ac68cc8-aa87-4521-a9de-e4f4e9d399d2
061,勝昌製藥廠股份有限公司(勝昌檢驗中心),302桃園縣中壢市民族路六段436號,(03) 490-9682,http://www.herb.com.tw/front/bin/notfound.phtml?Code=lock,103.01.21,塑化劑、黃麴毒素,衛生福利部食品藥物管理署103年01月21日FDA風字第1031100274號,http://172.16.0.45/upload/133/2014012409505674411.pdf,http://172.16.0.45/upload/133/2014012411203469852.pdf
062,國立臺灣海洋大學(水產品檢驗中心),20224基隆市北寧路2號,(02) 2462-2192轉2910,http://tcic.ntou.edu.tw/,103.06.03,氯黴素類、孔雀綠及其代謝物、硝基呋喃代謝物,衛生福利部103年06月03日部授食字第1031102587號,http://www.fda.gov.tw/TC/includes/GetFile.ashx?mID=133&id=30084&chk=0ac69b9a-2c20-4725-a5b6-901bae3c529c,http://www.fda.gov.tw/TC/includes/GetFile.ashx?mID=133&id=18099&chk=fec9156a-7371-4cac-adc2-8356e9f9e8a8
063,屏東縣政府衛生局(檢驗科實驗室),90054屏東市自由路272號,(08) 737-0065,http://www.ptshb.gov.tw/style/front001/bexfront.php,103.12.30,硼酸及其鹽類、亞硝酸鹽、乙型受體素類、孔雀綠及其代謝物,衛生福利部103年12月30日部授食字第1031106606號,http://www.fda.gov.tw/TC/includes/GetFile.ashx?mID=133&id=33664&chk=21b375ee-62bb-43f8-83ac-3bf8b23ed896,http://www.fda.gov.tw/TC/includes/GetFile.ashx?mID=133&id=18474&chk=ed208d91-c41b-4ddd-ac70-9a2af3a6cc6f
064,統一企業股份有限公司(食品安全中心食品安全實驗室),710臺南市永康區中正路301號C棟1~2樓,(06)253-6789轉8163,http://www.uni-president.com.tw/,103.01.03,抗氧化劑、硝基呋喃代謝物、氯黴素類,衛生福利部食品藥物管理署103年1月3日FDA風字第1021152009號,http://172.16.0.45/upload/133/2014010710225974258.pdf,http://172.16.0.45/upload/133/2014010710435828182.pdf
065,新竹市衛生局(檢驗科實驗室),30051新竹市建功二路20巷1號,(03) 572-3515轉261,http://dep.hcchb.gov.tw/,103.05.30,甲醛、咖啡因,衛生福利部103年05月30日部授食字第1031102364號,http://www.fda.gov.tw/TC/includes/GetFile.ashx?mID=133&id=29979&chk=7f6a34d4-2bf2-4a2a-9b45-20d8add3ef96,http://www.fda.gov.tw/TC/includes/GetFile.ashx?mID=133&id=20825&chk=e8177f76-969b-4811-84ce-2dad8bb6a5fe
066,南投縣政府衛生局(檢驗科實驗室),50462南投市復興路6號,(049)2233018,,102.06.25,生菌數、大腸桿菌、大腸桿菌群、鉛(食米)、鎘(食米),行政院衛生署102年06月25日署授食字第1021101893號,http://www.fda.gov.tw/TC/includes/GetFile.ashx?mID=133&id=24194&chk=02e778d2-8762-4b6a-aa1b-d872fc3cf16d,
067,高雄醫學大學環境醫學頂尖研究中心(國際標準級毒理學實驗室),807高雄市三民區十全一路100號研究大樓1樓,(07)312-1101轉2023,http://envmed.kmu.edu.tw/chindex.html,102.12.26,三聚氰胺、包裝飲用水中重金屬(砷、鉛、鎘、銅、鋅、汞),衛生福利部食品藥物管理署102年12月26日FDA風字第1021151938號,http://172.16.0.45/upload/133/2014010309052189552.pdf,http://172.16.0.45/upload/133/2014010314113241345.pdf
068,景博科技股份有限公司(景博科技股份有限公司實驗室),91250屏東縣內埔鄉內埔工業區建國路22號,(08)779-9370轉176,,103.10.16,生菌數、大腸桿菌、大腸桿菌群、沙門氏桿菌、3-單氯丙二醇、甲基汞(二)、食米重金屬(鉛、鎘、汞)、禽畜類重金屬(鉛)、水產動物類重金屬(鉛、鎘)、硝基呋喃代謝物、孔雀綠及其代謝物、黃麴毒素、防腐劑、丙酸、甜味劑,衛生福利部103年10月16日部授食字第1031105058號,http://www.fda.gov.tw/TC/includes/GetFile.ashx?mID=133&id=32045&chk=f08fd26e-6170-4217-95a0-244f611bc97a,http://www.fda.gov.tw/TC/includes/GetFile.ashx?mID=133&id=27661&chk=2ee83517-9f7b-4363-a409-a1d73403e638
069,統一超商股份有限公司(統一超商品質檢驗實驗室),320桃園縣中壢市北園路37號,(03)453-5332,,103.10.13,硝基呋喃代謝物、生菌數、大腸桿菌群、大腸桿菌、沙門氏桿菌,衛生福利部103年10月13日部授食字第1031104995號,http://www.fda.gov.tw/TC/includes/GetFile.ashx?mID=133&id=32043&chk=449e7b89-0dc4-42df-abe6-ea2e2d0756ec,http://www.fda.gov.tw/TC/includes/GetFile.ashx?mID=133&id=29348&chk=49dc6fbf-780b-4bad-bd05-f35d55f73fcc
070,正修科技大學超微量研究中心(食品藥物實驗室),83347高雄市鳥松區澄清路840號,(07) 735-8800,http://www2.csu.edu.tw/csitshow/micro/index-1.htm,104.01.07,丙酸、粗脂肪、粗灰分,衛生福利部104年01月07日部授食字第1031106713號,http://www.fda.gov.tw/TC/includes/GetFile.ashx?mID=133&id=33881&chk=28347af0-393f-40d5-9ea9-4f56a2d8b0c7,http://www.fda.gov.tw/TC/includes/GetFile.ashx?mID=133&id=33882&chk=ceb2ecb4-fd6f-4c93-81a6-5e7ac7301e11
071,國立中興大學土壤調查試驗中心(化學實驗室),40227台中市南區國光路250號,(04)2284-0376,http://www.nchu.edu.tw/index1.php,103.11.28,食用菇類重金屬(鉛、鎘)、蔬果植物類重金屬(鉛、鎘),衛生福利部103年11月28日部授食字第1030050229A號,http://www.fda.gov.tw/TC/includes/GetFile.ashx?mID=133&id=33078&chk=3a002cae-2513-4619-a86c-f322b7cdf33b,http://www.fda.gov.tw/TC/includes/GetFile.ashx?mID=133&id=33087&chk=d869c4c6-67a4-473a-aec5-cd17fc5222e8
072,喬本生醫股份有限公司(牛樟芝認証中心實驗室),908屏東縣長治鄉神農東路9號,(08)762-0033轉403,http://www.jobenbio.com/,103.08.13,食用菇類重金屬(鉛、鎘),衛生福利部103年08月13日部授食字第1031103885號,http://www.fda.gov.tw/TC/includes/GetFile.ashx?mID=133&id=30902&chk=3c2c9bfc-f97b-48d2-9c36-03d1f077ba37,http://www.fda.gov.tw/TC/includes/GetFile.ashx?mID=133&id=30903&chk=f08bb05a-d079-444a-8d34-6a8d6a206be7
073,振芳股份有限公司(品保實驗室),248新北市五股區五股工業區五工六路22號,(02)2299-2031轉3201,http://www.gemfont.com.tw/gf-ec/store.nsf/Gemfontindex?OpenPage,103.10.09,乳酸菌,衛生福利部103年10月09日部授食字第1031104878號,http://www.fda.gov.tw/TC/includes/GetFile.ashx?mID=133&id=32041&chk=1650063f-2a25-458b-b203-7f708712574c,http://www.fda.gov.tw/TC/includes/GetFile.ashx?mID=133&id=32125&chk=1881f822-2042-4ce4-9e2a-bfbc1086795b
074,澎湖縣政府衛生局(檢驗科),880 澎湖縣馬公市西文里118-2號,(06)9215351,http://www.phchb.gov.tw/ch/index.jsp,103.12.30,丙酸、過氧化氫,衛生福利部103年12月30日部授食字第1031106611號,http://www.fda.gov.tw/TC/includes/GetFile.ashx?mID=133&id=33667&chk=a94c98e3-3a47-4e10-84c5-bc788050cb56,http://www.fda.gov.tw/TC/includes/GetFile.ashx?mID=133&id=33669&chk=90c82042-1ed0-4e8c-a582-e91ddf7867eb
