試驗藥品監視新藥成分,申請者,許可證,報告書BA,報告書BE,報告書Dis,報告書核准日期,對照品商品名,對照品製造廠名,國別
Bupropion XL E.R. tab 300mg,安成,衛署藥製057337,,Y,,1001130,Wellbutrin XL E.R. tab 300mg,Biovail ,Canada
Buspirone tab 10mg,台灣東洋,衛署藥製 041445,,Y,,880722,Buspar tab 10mg,BMS,Australia
Buspirone tab 10mg,黃氏,衛署藥製 035011,,Y,,880202,Buspar tab 10mg,BMS,U.S.A.
Buspirone tab 10mg,華興,衛署藥製 039221,,Y,,880930,Buspar tab 10mg,BMS,U.S.A.
Buspirone tab 10mg,健喬信元,衛署藥製 039778,,Y,,940301,Buspar tab 10mg,BMS,Australia
Buspirone tab 5mg,聯邦,衛署藥製 034610,,Y,,940512,Buspar tab 5mg,Bristol-Myers Squibb,Australia
Buspirone tab 5mg,華興,衛署藥製 040085,,,Y,940105,Buisline tab 10mg,華興,Taiwan
Buspirone tab 5mg,健喬信元,衛署藥製 040134,,Y,,930112,Buspar tab 5mg,B.M.S.,U.S.A.
Buspirone tab 5mg,台灣東洋,衛署藥製 041523,,,Y,881201,Busron tab 10mg,台灣東洋,Taiwan
captopril tab 100mg,榮民,衛署藥製 041738,,Y,,861014,capoten tab 100mg,E.R.Squibb,U.S.A.
captopril tab 12.5mg,瑞士,衛署藥製 032711,,,Y,910108,captopri tab 25mg,瑞士,Taiwan
captopril tab 12.5mg,寶齡富錦,衛署藥製 033915,,,Y,930804,captopin tab 25mg,寶齡富錦,Taiwan
captopril tab 25mg,衛達,衛署藥製 030452,,Y,,880604,capoten tab 25mg,BMS,Taiwan
captopril tab 25mg,信東,衛署藥製 032275,,Y,,850425,capoten tab 25mg,E.R. Squibb,U.S.A.
captopril tab 25mg,瑞士,衛署藥製 032706,,Y,,851226,capoten tab 25mg,BMS,Taiwan
captopril tab 25mg,寶齡富錦,衛署藥製 033910,,Y,,840817,capoten tab 25mg,E.R. Squibb,U.S.A.
captopril tab 25mg,瑞安,衛署藥製 034598,,Y,,850710,capoten tab 25mg,BMS,Taiwan
captopril tab 25mg,國嘉,衛署藥製 034880,,Y,,850820,capoten tab 25mg,BMS,Taiwan
captopril tab 25mg,華興,衛署藥製 035420,,Y,,860822,capoten tab 25mg,BMS,Taiwan
captopril tab 25mg,生達,衛署藥製 036788,,Y,,850425,capoten tab 25mg,E.R. Squibb,U.S.A.
captopril tab 25mg,榮民,衛署藥製 036790,,,Y,880907,capoten tab 25mg,BMS,Taiwan
captopril tab 25mg,中化,衛署藥製 037204,,Y,,850808,capoten tab 25mg,BMS,Taiwan
captopril tab 25mg,永信,衛署藥製 037835,,Y,,911114,capoten tab 25mg,BMS,Taiwan
captopril tab 25mg,信元,衛署藥製 038204,,Y,,850627,capoten tab 25mg,E.R. Squibb,U.S.A.
captopril tab 25mg,皇佳,衛署藥製 040779,,,Y,900417,caproine-50 tab 50mg,皇佳,Taiwan
captopril tab 25mg,景德,衛署藥製 040949,,Y,,851114,capoten tab 25mg,BMS,Taiwan
captopril tab 25mg,賜茂,衛署藥輸 019632,,Y,,850708,capoten tab 25mg,BMS,Taiwan
captopril tab 50mg,皇佳,衛署藥製 035836,,Y,,890619,capoten tab 25mg,BMS,Taiwan
captopril tab 50mg,永信,衛署藥製 037833,,Y,,871021,capoten tab 50mg,BMS,U.S.A.
Carteolol tab 5mg,大塚,衛署藥製 043852,,,Y,890331,Mikelan tab 5mg,OtsU. K.a Pharma.,Japan
Carvedilol tab 12.5mg,台灣諾華,衛署藥輸 025070,,,Y,980630,Carvedilol Hexal tab 25mg,Salutas ,Germany
Carvedilol tab 12.5mg,瑩碩,衛署藥製 057370,,,Y,1010521,Carvedilol tab 6.25mg,聯亞,Taiwan
Carvedilol tab 25mg,格利,衛署藥製 044731,,Y,,900619,Dilatrend tab 25mg,Boehringer Mannheim,Germany
Carvedilol tab 25mg,健喬信元,衛署藥製 046404,,Y,,930609,Dilatrend tab 25mg,Roche diagnostics GmbH,Germany
Carvedilol tab 25mg,中化,衛署藥製 047239,,Y,,940328,Dilatrend tab 25mg,Roche Diagnostics ,Germany
Carvedilol tab 25mg,五洲,衛署藥製 047295,,Y,,940425,Dilatrend tab 25mg,Roche Diagnostics,Germany
Carvedilol tab 25mg,景德,衛署藥製 047434,,Y,,940104,Dilatrend tab 25mg,Roche Diagnostics ,Germany
Carvedilol tab 25mg,信東,衛署藥製 047460,,Y,,940621,Dilatrend tab 25mg,Roche Diagnostics ,Germany
Carvedilol tab 25mg,永信,衛署藥製 047510,,Y,,940812,Dilatrend tab 25mg,Roche,Germany
Carvedilol tab 25mg,瑩碩,衛署藥製 047894,,Y,,950308,Dilatrend tab 25mg,Roche Diagnostics ,Germany
Carvedilol tab 25mg,台灣諾華,衛署藥輸 024967,,Y,,980115,Dilatrend tab 25mg,Roche ,Italy
Carvedilol tab 25mg,瑞士,衛署藥製055987,Y,,,1000323,Dilatrend tab 25mg,Roche,Italy
Carvedilol tab 6.25mg,健喬信元,衛署藥製 046699,,Y,,931103,Dilatrend tab 6.25mg,Roche,Germany
Carvedilol tab 6.25mg,永信,衛署藥製 048168,,Y,,950615,Dilatrend tab 6.25mg,Roche,Germany
Carvedilol tab 6.25mg,瑩碩,衛署藥製 048309,,Y,,950915,Dilatrend tab 6.25mg,Roche Diagnostics ,Germany
Carvedilol tab 6.25mg,優良,衛署藥製 049358,,Y,,960417,Dilatrend tab 6.25mg,Roche,Italy
Carvedilol tab 6.25mg,景德,衛署藥製 049469,,Y,,970421,Dilatrend tab 6.25mg,Roche,Italy
Cefepime inj 1000mg,永信,衛署藥製 048834,,Y,,960508,Maxipime Inj 1000mg,Bristol-Myers Squibb ,Italy
Cefepime inj 500mg,信東,衛署藥製 050880,,Y,,980727,Maxipime Inj. 500mg,Bristol-Myers Squibb,Italy
Cefepime inj 500mg,生達,衛署藥製 047983,,Y,,950502,Maxipime Inj 500mg,Bristol-Myers Squibb ,Italy
Cefepime inj 500mg,永信,衛署藥製 048567,,Y,,960122,Maxipime Inj 500mg,Bristol-Myers Squibb ,Italy
Cefepime inj 500mg,中國化學,衛署藥製 049147,,Y,,960926,Maxipime Inj 500mg,Bristol-Myers Squibb ,Italy
Cefixime cap 100mg,永信,衛署藥製 045699,,Y,,920707,Cefspan cap 100mg,台灣藤澤,Taiwan
Cefixime cap 100mg,台灣藤澤,衛署藥製 033225,,,Y,940621,Cefspan cap 100mg,藤澤,Taiwan
Cefixime cap 100mg,信東,衛署藥製 048892,,Y,,960706,Cefspan cap 100mg,藤澤,Taiwan
Ceftazidime inj 1g,中化,衛署藥製 038949,,Y,,870311,Fortum for inj 1gm,葛蘭素威康,Taiwan
Ceftazidime inj 1g,聯邦,衛署藥製 039522,,Y,,860108,Fortum for inj 1gm,葛蘭素威康,Taiwan
Ceftazidime inj 1g,生達,衛署藥製 041754,,Y,,870427,Fortum for inj 1gm,葛蘭素威康,Taiwan
Ceftazidime inj 1g,信東,衛署藥製 042091,,Y,,950815,Fortum inj 1gm/vial,GSK,Italy
Ceftriaxone inj 1g,瑞安,衛署藥製 034032,,Y,,850712,Rocephin inj 1g,F.Hoffmann-La Roche,Switzerland
Ceftriaxone inj 1g,瑞士,衛署藥製 039782,,Y,,850712,Rocephin inj 1g,F.Hoffmann-La Roche,Switzerland
Ceftriaxone inj 1g,台灣汎生,衛署藥製 042365,,Y,,850626,Rocephin inj 1g,F.Hoffmann-La Roche,Switzerland
Ceftriaxone inj 500mg,瑞安,衛署藥製 034032,,Y,,870206,Rocephin inj 500mg,F. Hoffmann-La Roche,Switzerland
Ceftriaxone inj 500mg,信東,衛署藥製 036751,,Y,,871214,Rocephin inj 500mg,F. Hoffmann-La Roche,Switzerland
Cefuroxime Axetil tab 125mg,生達,衛署藥製 042433,,,Y,870701,Cefxin tab 250mg,生達,Taiwan
Cefuroxime Axetil tab 125mg,中化,衛署藥製 042779,,,Y,880115,Axurocef FC tab 250mg,中化,Taiwan
Cefuroxime Axetil tab 250mg,中化,衛署藥製 042417,,Y,,870428,Zinnat tab 250mg,Glaxo,England
Cefuroxime Axetil tab 250mg,生達,衛署藥製 042439,,Y,,870612,Zinnat tab 250mg,Glaxo,England
Cefuroxime Axetil tab 250mg,華興,衛署藥製 044652,,Y,,900927,Zinnat tab 250mg,Glaxo,England
Cefuroxime Axetil tab 250mg,永信,衛署藥製 045671,,Y,,920630,Zinnat tab 250mg,Glaxo,England
Cefuroxime inj 750mg,優良,衛署藥製 022952,,Y,,830321,Zinacef inj 750mg,葛蘭素威康,Taiwan
Cefuroxime inj 750mg,信東,衛署藥製 028099,,Y,,910410,Zinacef inj 750mg,葛蘭素威康,Taiwan
Cefuroxime inj 750mg,中化,衛署藥製 030620,,Y,,861216,Zinacef inj 750mg,葛蘭素威康,Taiwan
Cefuroxime inj 750mg,瑞士,衛署藥製 038544,,Y,,860612,Zinacef inj 750mg,葛蘭素威康,Taiwan
Celecoxib cap 200mg,永信,衛部藥製058217,,Y,,1020701,Celebrex Cap 200mg,Pfizer Pharma LLC,Puerto Rico
Celecoxib cap 200mg,瑞士,衛署藥製 057858,,Y,,1010717,Celebrex cap 200mg,Pfizer Pharmaceuticals LLC,Puerto Rico
Celecoxib cap 100mg,永信,衛部藥製 058217,,,Y,1030328,Ecopain cap 200mg,永信,Taiwan
Cetirizine tab 10mg,黃氏,衛署藥製 042887,,Y,,880212,Zyrtec tab 10mg,UCB SA Pharma sector,Belgium
Cetirizine tab 10mg,中化,衛署藥製 043048,,Y,,880608,Zyrtec tab 10mg,UCB SA Pharma sector,Belgium
Cetirizine tab 10mg,瑞士,衛署藥製 043213,,Y,,880816,Zyrtec tab 10mg,UCB SA Pharma sector,Belgium
Cetirizine tab 10mg,信東,衛署藥製 043306,,Y,,880930,Zyrtec tab 10mg,UCB SA Pharma sector,Belgium
Cetirizine tab 10mg,十全,衛署藥製 043403,,Y,,881020,Zyrtec tab 10mg,UCB SA Pharma sector,Belgium
Cetirizine tab 10mg,南光,衛署藥製 043502,,Y,,890111,Zyrtec tab 10mg,UCB SA Pharma sector,Belgium
Cetirizine tab 10mg,美時,衛署藥製 043659,,Y,,890118,Zyrtec tab 10mg,UCB SA Pharma sector,Belgium
Cetirizine tab 10mg,永勝,衛署藥製 043695,,Y,,880907,Zyrtec tab 10mg,UCB SA Pharma sector,Belgium
Cetirizine tab 10mg,世達,衛署藥製 043818,,Y,,890523,Zyrtec tab 10mg,UCB SA Pharma sector,Belgium
Cetirizine tab 10mg,華興,衛署藥製 044250,,Y,,890824,Zyrtec tab 10mg,UCB SA Pharma sector,Belgium
Cetirizine tab 10mg,正和,衛署藥製 044541,,Y,,900502,Zyrtec tab 10mg,UCB SA Pharma sector,Belgium
Cetirizine tab 10mg,永信,衛署藥製 044710,,Y,,901015,Zyrtec tab 10mg,UCB SA Pharma sector,Belgium
Cetirizine tab 10mg,寶齡富錦,衛署藥製 044980,,Y,,910311,Zyrtec tab 10mg,UCB SA Pharma sector,Belgium
Cetirizine tab 10mg,杏輝,衛署藥製 052532,,Y,,981002,Zyrtec tab 10mg,UCB Farchim S.A.,Switzerland
Cetirizine/ Pseudoephedrine ER cap 5mg/120mg,瑞士,衛署藥製 049263,Y,,,961106,Cirrus SR cap,UCB,Belgium
Cetirizine/ Pseudoephedrine ER tab 5mg/120mg,十全,衛署藥製 048125,,Y,,950621,Zyrtec-D 12 hour ER tab,Pfizer,U.S.A.
Cetirizine/ Pseudoephedrine ER tab 5mg/120mg ,中化,衛署藥製 047926,Y,,,941124,Zyrtec-D 12 hour ER tab,Pfizer,U.S.A.
Cetirizinel tab 10mg,壽元,衛署藥製 042656,,Y,,871030,Zyrtec tab 10mg,UCB SA Pharma sector,Belgium
Cilostazol tab 100mg,大塚,衛署藥製 044124,,,Y,891128,Pletaal tab 100mg,OtsU. K.a,Japan
Cilostazol tab 100mg,倍斯特,衛署藥製 048377,,Y,,951025,Pletaal tab 100mg,OtsU. K.a,Japan
Cilostazol tab 100mg,中化,衛署藥製 057814,,,Y,1011206,Loata tab 50mg,中化,Taiwan
Cilostazol tab 50mg,大塚,衛署藥製 044136,,,Y,891206,Pletaal tab 50mg,OtsU. K.a,Japan
Cilostazol tab 50mg,生達,衛署藥製 049008,,Y,,960820,Pletaal tab 50mg,大塚,Taiwan
Cilostazol tab 50mg,中化,衛署藥製 049189,,Y,,961123,Pletaal tab 50mg,大塚,Taiwan
Cilostazol tab 50mg,倍斯特,衛署藥製 050034,,,Y,980226,Plestar tab 100mg,倍斯特,Taiwan
Cilostazol tab 50mg,景德,衛署藥製 050429,,Y,,980513,Pletaal tab 50mg,大塚,Taiwan
Cilostazol tab 50mg,健喬信元,衛署藥製 055010,,Y,,990514,Pletaal tab 50mg,大塚,Taiwan
Ciprofloxacin tab 250mg,永信,衛署藥製 038089,,,Y,830829,Ciproxin tab 250mg,Bayer,Germany
Ciprofloxacin tab 250mg,信東,衛署藥製 038747,,Y,,820906,Ciproxin tab 250mg,Bayer,Germany
Ciprofloxacin tab 250mg,聯邦,衛署藥製 039271,,,Y,840821,Unipro tab 750mg,聯邦,Taiwan
Ciprofloxacin tab 250mg,中化,衛署藥製 039722,,,Y,850105,Ciflodal tab 500mg,中化,Taiwan
Ciprofloxacin tab 250mg,衛達,衛署藥製 040429,,,Y,850911,Sperocin tab 500mg,衛達,Taiwan
Ciprofloxacin tab 250mg,瑞士,衛署藥製 047993,,Y,,950705,Ciproxin tab 250mg,Bayer AG,Germany
Ciprofloxacin tab 500mg,永信,衛署藥製 038090,,,Y,830829,Ciproxin tab 500mg,Bayer,Germany
Ciprofloxacin tab 500mg,衛達,衛署藥製 038368,,Y,,831208,Ciproxin tab 500mg,Bayer,Germany
Ciprofloxacin tab 500mg,中化,衛署藥製 038528,,Y,,831229,Ciproxin tab 500mg,Bayer,Germany
Ciprofloxacin tab 500mg,景德,衛署藥製 039170,,Y,,840314,Ciproxin tab 250mg,Bayer,Germany
Ciprofloxacin tab 500mg,聯邦,衛署藥製 039488,,,Y,841011,Unipro tab 750mg,聯邦,Taiwan
Ciprofloxacin tab 500mg,壽元,衛署藥製 045201,,Y,,911018,Cipro tab 500mg,Bayer,U.S.A.
Ciprofloxacin tab 500mg,瑞士,衛署藥製 049619,,Y,,970819,Ciproxin tab 500mg,Bayer,Germany
Ciprofloxacin tab 750mg,永信,衛署藥製 036580,,Y,,820705,Ciproxin tab 750mg,Bayer,Germany
Ciprofloxacin tab 750mg,聯邦,衛署藥製 038527,,Y,,831208,Ciproxin tab 750mg,Bayer,Germany
Cisapride tab 10mg,瑪科隆,衛署藥製 041896,,,Y,870121,Asamox tab 5mg,順生,Taiwan
Cisapride tab 10mg,永信,衛署藥製 041925,,Y,,870204,Prepulsid tab 10mg,嬌生,Taiwan
Cisapride tab 10mg,瑞士,衛署藥製 042434,,,Y,870701,Periscon tab 5mg,瑞士,Taiwan
Cisapride tab 10mg,合誠,衛署藥製 042684,,,Y,871113,Goodway tab 5mg,合誠,Taiwan
Cisapride tab 10mg,井田,衛署藥製 042902,,Y,,880402,Prepulsid tab 5mg,嬌生,Taiwan
Cisapride tab 10mg,南光,衛署藥製 042964,,Y,,880324,Prepulsid tab 5mg,嬌生,Taiwan
Cisapride tab 5mg,瑪科隆,衛署藥製 040071,,Y,,850608,Prepulsid tab 5mg,Janssen,Belgium
Cisapride tab 5mg,信東,衛署藥製 040125,,Y,,850710,Prepulsid tab 5mg,嬌生,Taiwan
Cisapride tab 5mg,黃氏製藥,衛署藥製 041533,,Y,,860726,Prepulsid tab 5mg,嬌生,Taiwan
Cisapride tab 5mg,瑞士,衛署藥製 042283,,Y,,870326,Prepulsid tab 5mg,嬌生,Taiwan
Cisapride tab 5mg,杏輝,衛署藥製 042400,,Y,,870519,Prepulsid tab 5mg,嬌生,Taiwan
Cisapride tab 5mg,永信,衛署藥製 042442,,,Y,870706,Tsupid tab 10mg,永信,Taiwan
Cisapride tab 5mg,合誠,衛署藥製 042443,,Y,,870706,Prepulsid tab 5mg,嬌生,Taiwan
Cisapride tab 5mg,信元,衛署藥製 042645,,Y,,871015,Prepulsid tab 5mg,嬌生,Taiwan
Cisapride tab 5mg,中化,衛署藥製 042991,,Y,,880430,Prepulsid tab 5mg,嬌生,Taiwan
Cisapride tab 5mg,瑞安,衛署藥製 043288,,Y,,880907,Prepulsid tab 5mg,嬌生,Taiwan
Cisapride tab 5mg,南光,衛署藥製 043399,,,Y,881025,Wepride tab 10mg,南光,Taiwan
Cisapride tab 5mg,井田,衛署藥製 043975,,,Y,890713,Cipr tab 10mg,井田,Taiwan
Citalopram tab 20mg,五洲,衛署藥製 045807,,Y,,920516,Cipram tab 20mg,H. Lundbeck A/S ,Denmark
Citalopram tab 20mg,十全,衛署藥製 046237,,Y,,930120,Cipram tab 20mg,H. Lundbeck A/S ,Denmark
Citalopram tab 20mg,盛益,衛署藥輸 024015,,Y,,930423,Cipram tab 20mg,H. Lundbeck A/S ,Denmark
Citalopram tab 20mg,信東,衛署藥製 046606,,Y,,930503,Cipram tab 20mg,H. Lundbeck A/S ,Denmark
Citalopram tab 20mg,鴻汶,衛署藥輸 024408,,Y,,950110,Cipram tab 20mg,H. Lundbeck A/S ,Denmark
Citalopram tab 20mg,景德,衛署藥製 045380,,Y,,911121,Cipram tab 20mg,H. Lundbeck A/S ,Denmark
Citalopram tab 20mg,吉富,衛署藥輸 024580,,Y,,951204,Cipram tab 20mg,H. Lundbeck A/S ,Denmark
Citalopram tab 40mg,鴻汶,衛署藥輸 024379,,,Y,960312,Apo-Citalopram tab 20mg,Apotex,Canada
Citalopram tab 40mg,十全,衛署藥製 050011,,,Y,971223,Cilopa F.C. tab 20mg,十全,Taiwan
Clarithromycin tab 250mg,生達,衛署藥製 043966,,Y,,890824,Klaricid tab 250mg,Abbott,England
Clarithromycin tab 250mg,華興,衛署藥製 044366,,Y,,900312,Klaricid tab 250mg,Abbott,England
Clarithromycin tab 250mg,培力,衛署藥製 044479,,Y,,900514,Klaricid tab 250mg,Abbott,England
Clarithromycin tab 250mg,中化,衛署藥製 044733,,Y,,900820,Klaricid tab 250mg,Abbott,England
Clarithromycin tab 250mg,南光,衛署藥製 044830,,Y,,910115,Klaricid tab 250mg,Abbott,England
Clarithromycin tab 250mg,達康,衛署藥製 045188,,Y,,910924,Klaricid F.C.tab 250mg,Abbott,England
Clarithromycin tab 250mg,寶齡富錦,衛署藥製 047968,,,Y,941221,Klarith tab 500mg,寶齡富錦,Taiwan
Clarithromycin tab 500mg,瑞士,衛部藥製058197,,Y,,1021227,Klaricid F.C. Tab 500mg,Aesica Queenborough ,England
Clarithromycin tab 500mg,寶齡富錦,衛署藥製 046638,,Y,,930910,Klaricid tab 500mg,Abbott,England
Clarithromycin tab 500mg,華興,衛署藥製 054979,,Y,,990312,Klaricid tab 500mg,Abbott,England
Clarithromycin XL tab 500mg,寶齡富錦,衛署藥製 049305,,Y,,970129,Klaricid XL tab 500mg,Abbott,U. K.
Clodronate Disodium,杏輝,衛署藥製 047874,,Y,,950116,Bonefos cap 400mg,Leiras Oy,Finland
Clopidogrel  tab 75mg,壽元,衛署藥製055428,,Y,,990429,Plavix tab 75mg,Sanofi Winthrop,France
Clopidogrel tab 75 mg,優生,衛署藥製 057140,,Y,,1000902,Plavix tab 75 mg,Sanofi Winthrop ,France
Clopidogrel tab 75mg,躍欣,衛署藥製 047589,,Y,,940928,Plavix tab 75mg,Sanofi Winthrop,France
Clopidogrel tab 75mg,天行健,衛署藥製 048062,,Y,,941226,Plavix tab 75mg,Sanofi Winthrop,France
Clopidogrel tab 75mg,健維,衛署藥製 048730,,Y,,960427,Plavix tab 75mg,Sanofi Winthrop,France
Clopidogrel tab 75mg,生達,衛署藥製 048649,,Y,,960110,Plavix tab 75mg,Sanofi Winthrop,France
Clopidogrel tab 75mg,中化,衛署藥製 049344,,Y,,961123,Plavix tab 75mg,Sanofi Winthrop,France
Clopidogrel tab 75mg,永勝,衛署藥製 049224,,Y,,961220,Plavix tab 75mg,Sanofi Winthrop,France
Clopidogrel tab 75mg,培力,衛署藥製 049719,,Y,,970904,Plavix tab 75mg,Sanofi Winthrop,France
Clopidogrel tab 75mg,健亞,衛署藥製 049967,,Y,,970414,Plavix tab 75mg,Sanofi Winthrop,France
Clopidogrel tab 75mg,信東,衛署藥製 050126,,Y,,980421,Plavix F.C. tab 75mg,Sanofi Winthrop,France
Clopidogrel tab 75mg,瑞士,衛署藥製 050241,,Y,,980623,Plavix F.C. tab 75mg,Sanofi Winthrop,France
Clopidogrel tab 75mg,榮民,衛署藥製 055044,,Y,,990609,Plavix F.C. tab 75mg,Sanofi Winthrop,France
Clopidogrel tab 75mg,元宙,衛署藥製 052522,,Y,,990205,Plavix F.C. tab 75mg,Sanofi Winthrop,France
Clopidogrel tab 75mg,聯邦,衛署藥製 057123,,Y,,1001019,Plavix tab 75mg,Sanofi Winthrop,France
Clozapine tab 100mg,瑞士,衛署藥製 042448,,Y,,870428,Clozaril tab 100mg,Novartis,Switzerland
Clozapine tab 100mg,台灣汎生,衛署藥製 042886,,Y,,880407,Clozaril tab 100mg,Novartis,Switzerland
Clozapine tab 100mg,優生,衛署藥製 043859,,Y,,890704,Clozaril tab 100mg,Novartis,Switzerland
Clozapine tab 100mg,信東,衛署藥製 045414,,Y,,920221,Clozaril tab 100mg,Novartis,Switzerland
Clozapine tab 25mg,瑞士,衛署藥製 042621,,,Y,870921,Clopine tab 100mg,瑞士,Taiwan
Clozapine tab 25mg,台灣汎生,衛署藥製 043629,,,Y,890315,Clorin tab 100mg,台灣汎生,Taiwan
Clozapine tab 25mg,信東,衛署藥製 048058,,,Y,950424,Clozaril tab 25mg,Novartis,England
Cyclobenzaprine tab 10mg,健喬信元,衛署藥製 047787,Y,,,940816,Flexeril tab 10mg,Merck ,U.S.A.
Cyclobenzaprine tab 10mg,派頓,衛署藥製 048499,,Y,,951101,Flexeril tab 10mg,Merck/McNeil,U.S.A.
Cyclobenzaprine tab 5mg,美時,衛署藥製 048363,,,Y,951110,Musgud tab 10mg,美時,Taiwan
Cyclobenzaprine tab 5mg,健喬信元,衛署藥製 049545,,,Y,970530,Flexer tab 10mg,健喬信元,Taiwan
Cyclosporin cap 100mg,艾維斯,衛署藥輸 024127,,Y,,930308,Sandimmun Neoral cap 100mg,Novartis,Switzerland
Cyclosporin cap 25mg,艾維斯,衛署藥輸 024110,,Y,,930412,Sandimmun Neoral cap 25mg,Novartis,Switzerland
Cyclosporin gel cap 100mg,因華,衛署藥製 050140,,Y,,980427,Sandimmun Neoral cap 100mg,R.P. Scherer ,Germany
Desloratadine syrup 0.5mg/ml,歐舒邁克,衛署藥製 057795,,Y,,1011015,CLARINEX Syrup 0.5mg/ml,Schering Corporation,USA
Desloratadine tab 2.5mg,瑩碩,衛署藥製 050420,,,Y,980817,Deschu tab 5mg,聯亞,Taiwan
Desloratadine tab 5mg,健亞,衛署藥製 049099,,Y,,931215,Aerius tab 5mg,Schering-Plough,Italy
Desloratadine tab 5mg,瑩碩,衛署藥製 050163,,Y,,980219,Aerius tab 5mg,Schering-Plough,Italy
Desloratadine tab 5mg,優生,衛署藥製 051197,,Y,,980817,Aerius  tab 5mg,Schering-Plough ,Italy
Desloratadine tab 5mg,美時,衛署藥製 045972,,Y,,990707,Denosin tab 5mg ,美時,Taiwan
Diclofenac K tab 25mg,瑞士,衛署藥製 042216,,,Y,870418,Flamquit tab 50mg,瑞士,Taiwan
Diclofenac K tab 25mg,永勝,衛署藥製 044450,,,Y,900406,Meitan tab 50mg,永勝,Taiwan
Diclofenac K tab 25mg,培力,衛署藥製 044976,,,Y,921008,Peiflam tab 50mg,培力,Taiwan
Diclofenac K tab 25mg,生達,衛署藥製 044997,,Y,,910207,Cataflam tab 25mg,Novartis,Switzerland
Diclofenac K tab 25mg,永信,衛署藥製 045305,,,Y,911217,Voren-K tab 50mg,永信,Taiwan
Diclofenac K tab 25mg,瑞安,衛署藥製 046420,,,Y,930526,Clofen-P tab 50mg,瑞安,Taiwan
Diclofenac K tab 50mg,瑞士,衛署藥製 041664,,Y,,861007,Cataflam tab 25mg,Novartis,Switzerland
Diclofenac K tab 50mg,永勝,衛署藥製 043896,,Y,,890705,Cataflam tab 50mg,Novartis,Switzerland
Diclofenac K tab 50mg,永信,衛署藥製 044403,,Y,,900319,Cataflam tab 50mg,Novartis,Switzerland
Diclofenac K tab 50mg,培力,衛署藥製  044976,,Y,,910418,Cataflam tab 50mg,Novartis,Switzerland
Diclofenac K tab 50mg,生達,衛署藥製 045150,,Y,,910524,Cataflam tab 50mg,Novartis,Switzerland
Diclofenac K tab 50mg,景德,衛署藥製 047785,,,Y,941108,Deflam-K tab 25mg,景德,Taiwan
Donepezil OD tab 5mg,生達,衛署藥製 056646,,Y,,1000222,Aricept D tab 5mg,Eisai ,Japan
Donepezil tab 10mg,南光,衛署藥製 049348,,Y,,970307,Aricept tab 10mg,衛采,Taiwan
Donepezil tab 10mg,瑩碩,衛署藥製 050273,,Ｙ,,980717,Aricept F.C. tab 10mg,衛采,Taiwan
Donepezil tab 10mg,瑞安,衛署藥製055538,,Y,,991026,Aricept tab 10mg,Eisai,Taiwan
Donepezil tab 10mg,瑞蒙,衛署藥製 051718,,Y,,980331,Aricept tab 10mg,衛采,Taiwan
Donepezil tab 10mg,瑞士,衛署藥製 057965,,,Y,1000321,Remecin tab 5mg,瑞士,台灣
Donepezil tab 5mg,信東,衛署藥製056737,,Y,,1000110,Aricep tab 5mg,衛采,Taiwan
Donepezil tab 5mg,瑞士,衛署藥製 050165,,Y,,971028,Aricept F.C. tab 5mg,衛采,Taiwan
Donepezil tab 5mg,中國化學,衛署藥製 047469,,Y,,940727,Aricept tab 5mg,衛采,Taiwan
Donepezil tab 5mg,鼎豐宇,衛署藥製 049329,,Y,,961224,Aricept tab 5mg,衛采,Taiwan
Donepezil tab 5mg,南光,衛署藥製 049493,,,Y,970530,EPA tab 10mg,南光,Taiwan
Donepezil tab 5mg,瑩碩,衛署藥製 052351,,,Y,981126,Rewise  tab 10mg,聯亞,Taiwan
Doxazosin meselate XL tab 4mg,生達,衛署藥製 057838,,Y,,1011220,Doxaben XL tab 4mg,Pfizer Pharmaceuticals LLC,Puerto Rico
Doxazosin mesylate tab 1mg,強生,衛署藥製 045144,,,Y,910613,Saxobin tab 2mg,天騵委託強生製造,Taiwan
Doxazosin mesylate tab 2mg,健亞,衛署藥製 042378,,Y,,870604,Doxaben tab 2mg,Pfizer,Taiwan
Doxazosin mesylate tab 2mg,十全,衛署藥製 043467,,Y,,880621,Doxaben tab 2mg,Pfizer,Taiwan
Doxazosin mesylate tab 2mg,景德,衛署藥製 043765,,Y,,890508,Doxaben tab 2mg,Pfizer,Australia
Doxazosin mesylate tab 2mg,天騵,衛署藥製 044567,,Y,,900702,Doxaben tab 2mg,Pfizer,Australia
Doxazosin mesylate tab 2mg,生達,衛署藥製 044621,,Y,,900823,Doxaben tab 2mg,Pfizer,Australia
Doxazosin mesylate tab 2mg,五洲,衛署藥製 044681,,Y,,900912,Doxaben tab 2mg,Pfizer,Australia
Doxazosin mesylate tab 2mg,信東,衛署藥製 044853,,Y,,910220,Doxaben tab 2mg,Pfizer,Australia
Doxazosin mesylate tab 2mg,健喬信元,衛署藥製 045013,,Y,,910219,Doxaben tab 2mg,Pfizer,Australia
Doxazosin mesylate tab 2mg,中化,衛署藥製 045039,,Y,,910221,Doxaben tab 2mg,Pfizer,Australia
Doxazosin mesylate tab 4mg,健亞,衛署藥製 042874,,,Y,880311,Genzosin tab 2mg,健亞,Taiwan
Doxazosin mesylate tab 4mg,健喬信元,衛署藥製 050263,,,Y,980512,Dozan tab 2mg,信元,Taiwan
