製劑別,申請廠商,製劑名稱,製造批號,有效期限,包裝,封緘數量,封緘劑量,封緘日期,備註
血液製劑類,禾利行股份有限公司,百合施多特注射液,A144037,990831.0,50 mL/瓶/盒,50 mL/瓶/盒 × 500盒,500,970306,
血液製劑類,吉發企業股份有限公司,貝靈第八凝血因子注射劑,20566911J,990430.0,250 IU/瓶/盒,"250 IU/瓶/盒 × 1,480盒",1480,970317,
血液製劑類,吉發企業股份有限公司,貝靈止血纖維蛋白膠纖維蛋白止血組,604543A,980731.0,1 mL/瓶 × 4瓶/組/盒,1 mL/瓶 × 4瓶/組/盒 × 478盒,478,970321,
血液製劑類,吉發企業股份有限公司,第九凝血因子複合注射劑250/500,80860111B,990531.0,500 IU/瓶/盒,500 IU/瓶/盒 × 978盒,978,970325,
血液製劑類,吉發企業股份有限公司,第九凝血因子複合注射劑250/500,80960111A,990531.0,500 IU/瓶/盒,"500 IU/瓶/盒 × 2,074盒",2074,970306,
其他生物藥品類,香港商愛力根有限公司台灣分公司,愛力根保妥適乾粉注射劑,C2186 C3,991027.0,100 units/瓶/盒,100 units/瓶/盒 × 7982盒,7982,970312,
疫苗及類毒素類,賽諾菲安萬特股份有限公司,黃熱病疫苗,"B5285-8, B5285",990228.0,1 劑/支/盒,"1 劑/支/盒 × 2,500盒",2500,970312,
疫苗及類毒素類,美商默沙東藥廠股份有限公司台灣分公司,紐蒙肺多價性肺炎鏈球菌疫苗,"K0524, 1275U/0659769",990209.0,1劑/0.5 mL/瓶 × 10瓶/盒,"1劑/0.5 mL/瓶 × 10瓶/盒 × 1,756 盒",17560,970401,
疫苗及類毒素類,荷商葛蘭素史克藥廠股份有限公司台灣分公司,新赫寶克,"AHAVB194AD, AHAVB194A",990331.0,1劑/0.5 mL/瓶/盒,"1劑/0.5 mL/瓶/盒 × 4,160盒",4160,970326,
疫苗及類毒素類,荷商葛蘭素史克藥廠股份有限公司台灣分公司,新赫寶克,"AHAVB164AE, AHAVB164A",981130.0,1劑/0.5 mL/瓶/盒,"1劑/0.5 mL/瓶/盒 × 7,120盒",7120,970324,
疫苗及類毒素類,荷商葛蘭素史克藥廠股份有限公司台灣分公司,雙肝克(A型及B型肝炎疫苗),"AHABB120BB, AHABB120B",990531.0,1劑/1 mL/支/盒,1劑/1 mL/支/盒 × 858盒,858,970321,
血液製劑類,上合貿易股份有限公司,貝靈血清蛋白注射液20%,57844411B,1011031.0,50 mL/瓶/盒,"50 mL/瓶/盒 × 30,940盒",30940,970318,
血液製劑類,上合貿易股份有限公司,貝靈血清蛋白注射液20%,57744411C,1011031.0,50 mL/瓶/盒,"50 mL/瓶/盒 × 2,034盒",2034,970307,
疫苗及類毒素類,荷商葛蘭素史克藥廠股份有限公司台灣分公司,美瑞克,"A70CA751A, A70FA751A/AVARB096A",980430.0,1劑/瓶/盒,"1 劑/瓶/盒 × 3,710盒",3710,970409,
血液製劑類,泛泰醫療產品有限公司,百特威保500U抗抑制子凝血複合物,VNF1G054,981130.0,500 U/瓶/盒,"500 U/瓶/盒 × 2,285盒",2285,970402,
疫苗及類毒素類,荷商葛蘭素史克藥廠股份有限公司台灣分公司,派立克,"AMJRB595AB, AMJRB595A",990131.0,10 劑/瓶 × 50 瓶/盒,10 劑/瓶 × 50 瓶/盒 × 218盒; 40瓶/盒 × 1盒,109400,970328,
血液製劑類,天行貿易股份有限公司,白蛋白注射劑,26N9NL1,1000125.0,50 mL/瓶/盒,"50 mL/瓶/盒 × 19,145盒",19145,970324,
疫苗及類毒素類,賽諾菲安萬特股份有限公司,巴斯德五合一疫苗(白喉、百日咳、破傷風、小兒麻痺及b型流行性感冒嗜血桿菌疫苗）,"C2613AD, C2613A",980331.0,1劑/0.5 mL/瓶/盒,"1劑/0.5 mL/瓶/盒 × 43,768盒",43768,970325,
其他生物藥品類,海喬國際股份有限公司,麗舒妥注射劑500單位,645S,980731.0,500 units/瓶/盒,"500 units/瓶/盒 × 2,018 盒",2018,970408,
疫苗及類毒素類,荷商葛蘭素史克藥廠股份有限公司台灣分公司,美瑞克,"A70CA694A, A70FA694A/AVARB127A",980731.0,1劑/瓶/盒,"1劑/瓶/盒 × 6,640盒",6640,970402,
其他生物藥品類,香港商愛力根有限公司台灣分公司,愛力根保妥適乾粉注射劑,C2186 C3,991027.0,100 units/瓶/盒,100 units/瓶/盒 × 3989盒,3989,970331,
疫苗及類毒素類,美商默沙東藥廠股份有限公司台灣分公司,"嘉喜〔四價人類乳突病毒(第 6,11,16,18 型)基因重組疫苗〕","NH13490, 1694U",991022.0,1劑/0.5 mL/支 × 10支/盒,"1劑/0.5 mL/支 × 10支/盒 × 3,614 盒",36140,970418,
血液製劑類,海喬國際股份有限公司,愛替治注射劑,U13L-2,981031.0,5 mL/瓶,5 mL/瓶 × 200瓶,200,970409,
疫苗及類毒素類,美商默沙東藥廠股份有限公司台灣分公司,默克基因重組B型肝炎疫苗,"K0901,1322U/0659265",990705.0,1劑/1 mL/瓶 × 10瓶/盒,"1劑/1 mL/瓶 × 10瓶/盒 × 2,610盒；9瓶/盒 × 1盒",26109,970403,
疫苗及類毒素類,美商默沙東藥廠股份有限公司台灣分公司,唯德不活化A型肝炎疫苗,"K0866, 0813U/0657840",990305.0,1劑/0.5 mL/瓶 × 10瓶/盒,"1劑/0.5 mL/瓶 × 10瓶/盒 × 1,308盒；5瓶/盒 × 1盒",13085,970403,
血液製劑類,上合貿易股份有限公司,貝靈血清蛋白注射液20%,58644411E,1011130.0,50 mL/瓶/盒,"50 mL/瓶/盒 × 3,229盒",3229,970410,
血液製劑類,上合貿易股份有限公司,貝靈血清蛋白注射液20%,58544411A,1011130.0,50 mL/瓶/盒,"50 mL/瓶/盒 × 31,639盒",31639,970410,
其他生物藥品類,國光生物科技股份有限公司,精製結核菌素 RT23SSI,1523A,990930.0,15 劑/1.5 mL/瓶 × 10 瓶/盒,"15 劑/1.5 mL/瓶 × 10 瓶/盒 × 1,150 盒",172500,970523,
血液製劑類,泛泰醫療產品有限公司,百特25%人體正常血清白蛋白注射劑,LA08E014AA,990123.0,50 mL/瓶,"50 mL/瓶 × 16,996瓶",16996,970410,
疫苗及類毒素類,行政院衛生署疾病管制局,吸著白喉、破傷風混合類毒素,DT039701,990424.0,6劑/3 mL/瓶 × 10瓶/盒,6劑/3 mL/瓶 × 10瓶/盒 × 629盒; 3 mL/瓶 × 6瓶,37776,970523,
疫苗及類毒素類,荷商葛蘭素史克藥廠股份有限公司台灣分公司,安在時B型肝炎疫苗,"AHBVB507AC, AHBVB507A",990331.0,1劑/1 mL/瓶 × 100瓶/盒,1劑/1 mL/瓶 × 100瓶/盒 × 505盒；58瓶/盒 × 1盒,50558,970423,
疫苗及類毒素類,荷商葛蘭素史克藥廠股份有限公司台灣分公司,安在時B型肝炎疫苗,"AHBVB507AB, AHBVB507A",990331.0,1劑/1 mL/瓶 × 25瓶/盒,1劑/1 mL/瓶 × 25瓶/盒 × 956盒；4瓶/盒 × 1盒,23904,970422,
血液製劑類,百達醫療產品股份有限公司,百特組織修復凝合劑,VND2H001,981130.0,1 mL/支 × 2支/組/盒,"1 mL/支 × 2支/組/盒 × 1,124盒",1124,970506,
血液製劑類,泛泰醫療產品有限公司,百特25%人體正常血清白蛋白注射劑,LA07D269AA,981219.0,50 mL/瓶,"50 mL/瓶 × 16,996瓶",16996,970430,
血液製劑類,天行貿易股份有限公司,白蛋白注射劑,26N9T81,1000223.0,50 mL/瓶/盒,"50 mL/瓶/盒 × 9,506盒",9506,970429,
血液製劑類,台灣綠十字股份有限公司,基立福乾燥抗血友病第八因子注射劑250國際單位,AS07052A,980919.0,240 IU/瓶/盒,"240 IU/瓶/盒 × 2,344盒",2344,970502,
疫苗及類毒素類,美商默沙東藥廠股份有限公司台灣分公司,唯德不活化A型肝炎疫苗,"K0904, 0813U/0657840",990305.0,1劑/0.5 mL/瓶 × 10瓶/盒,1劑/0.5 mL/瓶 × 10瓶/盒 × 544盒；5瓶/盒 × 1盒,5445,970422,
疫苗及類毒素類,行政院衛生署疾病管制局,明礬沉澱破傷風類毒素,TX039701,990522.0,6 劑/3 mL/瓶 × 10 瓶/盒,"6 劑/3 mL/瓶 × 10 瓶/盒 × 1,335 盒；7 瓶/盒 × 1 盒",80142,970609,
疫苗及類毒素類,荷商葛蘭素史克藥廠股份有限公司台灣分公司,嬰護寧五合一疫苗(白喉/破傷風/無細胞性百日咳/去活性小兒麻痺/b型流行性感冒嗜血桿菌混合疫苗),"A20CA399A, A20LA399A/A20FA399A",980831.0,1 劑/盒,1 劑/盒 × 960盒,960,971028,封緘時須抽樣檢體180支
疫苗及類毒素類,荷商葛蘭素史克藥廠股份有限公司台灣分公司,嬰護寧,"AC14B068BA, AC14B068B",990228.0,1 劑/0.5 mL/支/盒,"1 劑/0.5 mL/支/盒 × 1,120盒",1120,971028,封緘時須抽樣檢體160支
疫苗及類毒素類,荷商葛蘭素史克藥廠股份有限公司台灣分公司,羅特律輪狀病毒疫苗,"A41CA568A, A41FA568A/AROTA122B",990331.0,1 劑/瓶/盒,"1 劑/瓶/盒 × 15,860 盒",15860,970618,
血液製劑類,泛泰醫療產品有限公司,百特威保500U抗抑制子凝血複合物,VNF1H002,981231.0,500 U/瓶/盒,"500 U/瓶/盒 × 2,660盒",2660,970529,
疫苗及類毒素類,美商默沙東藥廠股份有限公司台灣分公司,麻疹、腮腺炎及德國麻疹三種混合疫苗注射劑,"K1278, 0021X/0659677",990328.0,1劑/瓶/盒,"1劑/瓶/盒 × 5,554盒",5554,970512,
血液製劑類,上合貿易股份有限公司,貝靈克療丙注射劑,24740311G,1000331.0,2 mL/瓶/盒,"2 mL/瓶/盒 × 5,000盒",5000,970529,
抗毒素及抗血清類,台灣諾華股份有限公司,肉毒桿菌抗毒素,076011A,971130.0,250 mL/瓶/盒,250 mL/瓶/盒 × 5盒,5,970423,
疫苗及類毒素類,美商默沙東藥廠股份有限公司台灣分公司,輪達停口服活性五價輪狀病毒疫苗,0372X/0661036,981205.0,1 劑/2 mL/軟管/盒,"1 劑/2 mL/軟管/盒 × 1,958 盒",1958,970619,
血液製劑類,上合貿易股份有限公司,貝靈血清蛋白注射液20%,60544411A,1020131.0,50 mL/瓶/盒,"50 mL/瓶/盒 × 16,538盒",16538,970506,
血液製劑類,上合貿易股份有限公司,貝靈血清蛋白注射液20%,60544431A,1020131.0,50 mL/瓶/盒,"50 mL/瓶/盒 × 12,654盒",12654,970506,
血液製劑類,上合貿易股份有限公司,貝靈血清蛋白注射液20%,60044411A,1011231.0,50 mL/瓶/盒,"50 mL/瓶/盒 × 27,054盒",27054,970508,
血液製劑類,上合貿易股份有限公司,貝靈血清蛋白注射液20%,60244411A,1020131.0,50 mL/瓶/盒,"50 mL/瓶/盒 × 16,704盒",16704,970508,
血液製劑類,禾利行股份有限公司,百合人白蛋白20%,A235047,991130.0,50 mL/瓶/盒,"50 mL/瓶/盒 × 4,986盒",4986,970507,
抗毒素及抗血清類,行政院衛生署疾病管制局,抗龜殼花及赤尾鮐蛇毒血清凍晶注射劑,FH9701,1020413.0,1 劑/瓶/盒,"1 劑/瓶/盒 × 1,352 盒",1352,970530,
血液製劑類,天行貿易股份有限公司,白蛋白注射劑20%,26N9N81,1000121.0,50 mL/瓶/盒,"50 mL/瓶/盒 × 11,823盒",11823,970731,
血液製劑類,上合貿易股份有限公司,必凝易得 P,75465011F,980831.0,250 IU/瓶/盒,250 IU/瓶/盒 × 980盒,980,970603,
疫苗及類毒素類,賽諾菲安萬特股份有限公司,巴斯德沙賓小兒麻痺口服疫苗,"B6005-2, B6005",980831.0,10 劑/1 mL/瓶 × 10 瓶/盒 × 20 盒/中盒,10 劑/1 mL/瓶 × 10 瓶/盒 × 20 盒/中盒 × 500 中盒；10 瓶/盒 × 1 盒,1000100,970526,
疫苗及類毒素類,荷商葛蘭素史克藥廠股份有限公司台灣分公司,派立克,"AMJRB498AF, AMJRB498A",980930.0,10劑/瓶 × 50瓶/盒,10劑/瓶 × 50瓶/盒 × 8盒；20瓶/盒 × 1盒,4200,970519,
疫苗及類毒素類,荷商葛蘭素史克藥廠股份有限公司台灣分公司,派立克,"AMJRB595AB, AMJRB595A",990131.0,10 劑/瓶 × 50瓶/盒,10劑/瓶 × 50瓶/盒 × 18盒；20瓶/盒 × 1盒,9200,970519,
疫苗及類毒素類,荷商葛蘭素史克藥廠股份有限公司台灣分公司,愛爾德口服小兒麻痺疫苗 I+II+III,"AOPVB519AD, AOPVB519A",981031.0,10 劑/1 mL/瓶 × 100 瓶/盒,10 劑/1 mL/瓶 × 100 瓶/盒 × 14 盒；80 瓶/盒 × 1 盒,14800,971208,
疫苗及類毒素類,美商默沙東藥廠股份有限公司台灣分公司,麻疹、腮腺炎及德國麻疹三種混合疫苗注射劑,"K1397, 0380X/0660109",990407.0,1 劑/瓶 × 10 瓶/盒,"1 劑/瓶 × 10 瓶/盒 × 9,640 盒",96400,970528,
疫苗及類毒素類,美商默沙東藥廠股份有限公司台灣分公司,麻疹、腮腺炎及德國麻疹三種混合疫苗注射劑,"K1491, 0340X/0659928",990410.0,1 劑/瓶 × 10 瓶/盒,"1 劑/瓶  × 10 瓶/盒 × 1,393 盒",13930,970528,
血液製劑類,天行貿易股份有限公司,破傷風預防注射劑 250 Units,26N8L81,981222.0,1 mL/支/盒,1 mL/支/盒 × 80盒,80,970519,
血液製劑類,天行貿易股份有限公司,B型肝炎免疫人血球蛋白注射液,26N9P71,991211.0,1 mL/支/盒,1 mL/支/盒 × 950盒,950,970627,
其他生物藥品類,香港商愛力根有限公司台灣分公司,愛力根保妥適乾粉注射劑,C2254 C3,1000118.0,100 units/瓶/盒,"100 units/瓶/盒 × 8,979盒",8979,970526,
血液製劑類,泛泰醫療產品有限公司,百特25%人體正常血清白蛋白注射劑,LA08D043AA,990227.0,50 mL/瓶,"50 mL/瓶 × 16,996瓶",16996,970530,
血液製劑類,百達醫療產品股份有限公司,百特組織修復凝合劑,VND2H015,981130.0,1 mL/支 × 2支/組/盒,"1 mL/支 × 2支/組/盒 × 1,046盒",1046,970702,
疫苗及類毒素類,荷商葛蘭素史克藥廠股份有限公司台灣分公司,安在時B型肝炎疫苗,"AHBVB528AB, AHBVB528A",990531.0,1劑/1 mL/瓶 × 25瓶/盒,"1劑/1mL/瓶 × 25瓶/盒 × 2,394盒; 8瓶/盒 × 1盒",59858,970617,
疫苗及類毒素類,美商默沙東藥廠股份有限公司台灣分公司,默克基因重組B型肝炎疫苗,"K1407, 0185X/0660398",991010.0,1劑/0.5 mL/瓶 × 10瓶/盒,"1劑/0.5 mL/瓶 × 10瓶/盒 × 12,493盒；8瓶/盒 × 1盒",124938,970609,
疫苗及類毒素類,美商默沙東藥廠股份有限公司台灣分公司,輪達停口服活性五價輪狀病毒疫苗,0476X/0661036,981205.0,1劑/2 mL/軟管/盒,"1劑/2 mL/軟管/盒 × 5,724盒",5724,970620,
疫苗及類毒素類,行政院衛生署疾病管制局,明礬沉澱破傷風類毒素,TX209701,990515.0,40劑/20 mL/瓶 × 10瓶/盒,"40劑/20 mL/瓶 × 10瓶/盒 × 1,309盒；6瓶/盒 × 1盒",523840,970520,
血液製劑類,天行貿易股份有限公司,B型肝炎免疫人血球蛋白注射液,26N9X91,991211.0,0.5 mL/支/盒,"0.5 mL/支/盒 × 4,800盒",4800,970604,
血液製劑類,天行貿易股份有限公司,B型肝炎免疫人血球蛋白注射液,26N9011,990319.0,1 mL/支/盒,1 mL/支/盒 × 905盒,905,970606,
疫苗及類毒素類,荷商葛蘭素史克藥廠股份有限公司台灣分公司,保蓓人類乳突病毒第16/18型疫苗,"AHPVA023EB, AHPVA023E",990430.0,1劑/0.5 mL/支/盒,"1劑/0.5 mL/支/盒 × 27,840盒",27840,970703,
疫苗及類毒素類,荷商葛蘭素史克藥廠股份有限公司台灣分公司,保蓓人類乳突病毒第16/18型疫苗,"AHPVA009CB, AHPVA009C",981130.0,1劑/0.5 mL/支/盒,"1劑/0.5 mL/支/盒 × 23,340盒",23340,970703,
疫苗及類毒素類,賽諾菲安萬特股份有限公司,巴斯德五合一疫苗(白喉、百日咳、破傷風、小兒麻痺及b型流行性感冒嗜血桿菌疫苗）,"C2943AA, C2943A",990630.0,1劑/0.5 mL/瓶/盒,"1 劑/0.5 mL/瓶/盒 × 64,280 盒",64280,970730,
疫苗及類毒素類,美商默沙東藥廠股份有限公司台灣分公司,默克基因重組B型肝炎疫苗,"K1407, 0185X/0660398",991010.0,1劑/0.5 mL/瓶 × 10瓶/盒,"1劑/0.5 mL/瓶 × 10瓶/盒 × 12,500盒；9瓶/盒 × 1盒",125009,970613,
血液製劑類,上合貿易股份有限公司,貝靈血清蛋白注射液20%,61344411A,1020131.0,50 mL/瓶/盒,"50 mL/瓶/盒 × 30,823盒",30823,970616,
血液製劑類,上合貿易股份有限公司,貝靈血清蛋白注射液20%,61744411A,1020228.0,50 mL/瓶/盒,"50 mL/瓶/盒 × 32,618盒",32618,970616,
疫苗及類毒素類,台灣諾華股份有限公司,狂犬病疫苗(Rabipur),410011C,990430.0,1劑/瓶 × 5瓶/盒,1劑/瓶 × 5瓶/盒 × 100盒,500,970613,
血液製劑類,世信生物科技股份有限公司,國血製劑益康 人類免疫球蛋白靜脈注射劑,3740500484,981119.0,50 mL/瓶/盒,"50 mL/瓶/盒 × 19,742盒",19742,970716,
疫苗及類毒素類,賽諾菲安萬特股份有限公司,巴斯德 b 型嗜血桿菌接合疫苗,"A0549-3, A0549",980531.0,1 劑/瓶/盒,"1 劑/瓶/盒 × 15,070 盒",15070,970620,
抗毒素及抗血清類,台灣諾華股份有限公司,肉毒桿菌抗毒素,076011A,971130.0,250 mL/瓶/盒,250 mL/瓶/盒 × 2盒,2,970606,
血液製劑類,世信生物科技股份有限公司,國血製劑益康（20％）人血清白蛋白注射劑,3470500250,981120.0,50 mL/瓶/盒,"50 mL/瓶/盒 × 24,731盒",24731,970811,
血液製劑類,世信生物科技股份有限公司,國血製劑益康高純度第八凝血因子注射劑,3300850315,981207.0,250 IU/瓶/盒,"250 IU/瓶/盒 × 4,720盒",4720,970811,
疫苗及類毒素類,行政院衛生署疾病管制局,明礬沉澱破傷風類毒素,TX039702,990819.0,6劑/3 mL/瓶 × 10瓶/盒,"6劑/3 mL/瓶 × 10瓶/盒 × 1,076盒; 3 mL/瓶 × 3瓶",64578,970826,
疫苗及類毒素類,荷商葛蘭素史克藥廠股份有限公司台灣分公司,安在時B型肝炎疫苗,"AHBVB507AJ, AHBVB507A",990331.0,1劑/1mL/瓶 × 25瓶/盒,"1劑/1 mL/瓶 × 25瓶/盒 × 2,210盒; 4瓶/盒 ×1盒",55254,970620,
血液製劑類,百達醫療產品股份有限公司,百特組織修復凝合劑,VND2H024,990131.0,2 mL/支 × 2支/組/盒,2 mL/支 × 2支/組/盒 × 616盒,616,970715,
血液製劑類,吉發企業股份有限公司,貝靈第八凝血因子注射劑,32666911A,1000228.0,250 IU/瓶/盒,"250 IU/瓶/盒 × 1,780盒",1780,970625,
血液製劑類,吉帝藥品股份有限公司,兔抗胸腺細胞免疫球蛋白,"C8004H07, C8004",980630.0,5 mL/瓶/盒,5 mL/瓶/盒 × 295盒,295,970616,
血液製劑類,台灣綠十字股份有限公司,艾爾補定注射液25%,D1NL800051,1000225.0,50 mL/瓶/盒,"50 mL/瓶/盒 × 9,613盒",9613,970619,
疫苗及類毒素類,行政院衛生署疾病管制局,明礬沉澱破傷風類毒素,TX039703,990902.0,6劑/3mL/瓶 × 10瓶/盒,"6劑/3mL/瓶 × 10瓶/盒 × 1,096盒；3mL/瓶 × 2瓶",65772,970910,
疫苗及類毒素類,行政院衛生署疾病管制局,凍結乾燥卡介苗,BG039704,990810.0,30劑/1.5 mg/瓶 × 10瓶/盒,30劑/1.5 mg/瓶 × 10瓶/盒 × 628盒,188400,970815,
疫苗及類毒素類,行政院衛生署疾病管制局,凍結乾燥卡介苗,BG039703,990803.0,30劑/1.5mg/瓶 × 10瓶/盒,30劑/1.5mg/瓶 × 10瓶/盒 × 607盒,182100,970815,
疫苗及類毒素類,行政院衛生署疾病管制局,凍結乾燥卡介苗,BG039705,990817.0,30劑/1.5mg/瓶 × 10瓶/盒,30劑/1.5mg/瓶 × 10瓶/盒 × 616盒,184800,970819,
血液製劑類,世信生物科技股份有限公司,國血製劑益康高純度第九凝血因子注射劑,3250920159,990206.0,500 IU/瓶/盒,"500 IU/瓶/盒 × 3,380盒",3380,970820,
疫苗及類毒素類,美商默沙東藥廠股份有限公司台灣分公司,"嘉喜〔四價人類乳突病毒(第 6,11,16,18 型)基因重組疫苗〕","NH45830, 1694U",991022.0,1 劑/0.5 mL/支/盒,"1 劑/0.5 mL/支/盒 × 1,488 盒",1488,970620,
疫苗及類毒素類,荷商葛蘭素史克藥廠股份有限公司台灣分公司,流行性腦脊髓膜炎疫苗(Mencevax ACWY),"AMENB069AA, AMENB069A",980831.0,10 劑/瓶 × 50 瓶/盒,10 劑/瓶 × 50 瓶/盒 × 2 盒,1000,970624,
血液製劑類,吉發企業股份有限公司,〝貝靈〞B型肝炎免疫球蛋白注射液,05846811G,991031.0,1 mL/支/盒,1 mL/支/盒 × 230盒,230,970711,
血液製劑類,上合貿易股份有限公司,貝靈血清蛋白注射液20%,61844411C,1020228.0,50 mL/瓶/盒,"50 mL/瓶/盒 × 25,195盒",25195,970716,
血液製劑類,台灣綠十字股份有限公司,艾爾補定注射液25%,L1NL800101,1000408.0,50 mL/瓶/盒,"50 mL/瓶/盒 × 9,676盒",9676,970714,
血液製劑類,台灣綠十字股份有限公司,艾爾補定注射液25%,M1NL800031,1000212.0,50 mL/瓶/盒,"50 mL/瓶/盒 × 9,580盒",9580,970714,
血液製劑類,上合貿易股份有限公司,貝靈血清蛋白注射液20%,61944411A,1020228.0,50 mL/瓶/盒,"50 mL/瓶/盒 × 29,781盒",29781,970716,
血液製劑類,泛泰醫療產品有限公司,百特25%人體正常血清白蛋白注射劑,LA08D025AA,990212.0,50 mL/瓶,"50 mL/瓶 × 11,836瓶",11836,970814,
血液製劑類,泛泰醫療產品有限公司,百特25%人體正常血清白蛋白注射劑,LA08D010AA,990120.0,50 mL/瓶,"50 mL/瓶 × 18,156瓶",18156,970805,
血液製劑類,禾利行股份有限公司,百合人白蛋白20%,A234208,1000228.0,50 mL/瓶/盒,"50 mL/瓶/盒 × 4,996盒",4996,970715,
其他生物藥品類,海喬國際股份有限公司,麗舒妥注射劑500單位,661AH,990228.0,500 units/瓶/盒,"500 units/瓶/盒 × 1,968瓶",1968,970717,
疫苗及類毒素類,賽諾菲安萬特股份有限公司,巴斯德 b 型嗜血桿菌接合疫苗,"B0004-1, B0004",981231.0,1 劑/瓶/盒,"1 劑/瓶/盒 × 16,076盒",16076,970725,
疫苗及類毒素類,美商默沙東藥廠股份有限公司台灣分公司,輪達停口服活性五價輪狀病毒疫苗,0308X/0660926,981116.0,1 劑/2 mL/軟管 × 10 軟管/盒,1 劑/2 mL/軟管 × 10 軟管/盒 × 990 盒,9900,970814,
疫苗及類毒素類,賽諾菲安萬特股份有限公司,巴斯德 b 型嗜血桿菌接合疫苗,"A0549-3, A0549",980531.0,1劑/盒,"1劑/盒 × 2,100盒",2100,970716,
其他生物藥品類,香港商愛力根有限公司台灣分公司,愛力根保妥適乾粉注射劑,C2254 C3,1000118.0,100 units/瓶/盒,"100 units/瓶/盒 × 4,866盒",4866,970718,
疫苗及類毒素類,荷商葛蘭素史克藥廠股份有限公司台灣分公司,保蓓人類乳突病毒第16/18型疫苗,"AHPVA025EB, AHPVA025E",990531.0,1劑/0.5 mL/支/盒,"1劑/0.5 mL/支/盒 × 13,840盒",13840,971106,
疫苗及類毒素類,荷商葛蘭素史克藥廠股份有限公司台灣分公司,新赫寶克,"AHAVB267AD, AHAVB267A",991130.0,1劑/0.5 mL/瓶/盒,"1劑/0.5 mL/瓶/盒 × 7,130盒",7130,970801,
疫苗及類毒素類,荷商葛蘭素史克藥廠股份有限公司台灣分公司,羅特律輪狀病毒疫苗,"A41CA568D, A41FA568D/AROTA122B",990331.0,1劑/瓶/盒,"1劑/瓶/盒×19,960盒",19960,970723,
疫苗及類毒素類,美商默沙東藥廠股份有限公司台灣分公司,紐蒙肺多價性肺炎鏈球菌疫苗,"K2644, 1958U/0661066",990527.0,1劑/0.5 mL/瓶 × 10瓶/盒,"1劑/0.5 mL/瓶 × 10瓶/盒 × 6,312盒",63120,970805,
疫苗及類毒素類,美商默沙東藥廠股份有限公司台灣分公司,紐蒙肺多價性肺炎鏈球菌疫苗,"K2614, 0353X/0661802",990703.0,1劑/0.5 mL/瓶 × 10瓶/盒,"1劑/0.5 mL/瓶 × 10瓶/盒 × 10,832盒",108320,970806,
疫苗及類毒素類,美商默沙東藥廠股份有限公司台灣分公司,紐蒙肺多價性肺炎鏈球菌疫苗,"K2645, 0292X/0661743",990708.0,1劑/0.5 mL/瓶 × 10瓶/盒,"1劑/0.5 mL/瓶 × 10瓶/盒 × 9,287 盒",92870,970806,
疫苗及類毒素類,荷商葛蘭素史克藥廠股份有限公司台灣分公司,流行性腦脊髓膜炎疫苗(Mencevax ACWY),"A73CA242A, A73FA242A/AMENB070A",980731.0,1劑/瓶/盒,1劑/瓶/盒 × 300盒,300,970716,
血液製劑類,吉帝藥品股份有限公司,兔抗胸腺細胞免疫球蛋白,"C8014H03, C8014",981031.0,5 mL/瓶/盒,5 mL/瓶/盒 × 595盒,595,970716,
疫苗及類毒素類,荷商葛蘭素史克藥廠股份有限公司台灣分公司,新赫寶克,"AHAVB199BI, AHAVB199B",990731.0,1劑/1 mL/瓶/盒,"1劑/1 mL/瓶/盒 × 6,198盒",6198,970808,
疫苗及類毒素類,美商默沙東藥廠股份有限公司台灣分公司,默克基因重組B型肝炎疫苗,"K2704, 0577X/0660953",991120.0,1劑/1 mL/瓶 × 10瓶/盒,"1劑/1 mL/瓶 × 10瓶/盒 × 3,805盒; 8瓶/盒 × 1盒",38058,970805,
疫苗及類毒素類,荷商葛蘭素史克藥廠股份有限公司台灣分公司,派立克,"AMJRB571AB, AMJRB571A",990331.0,10劑/瓶 × 50瓶/盒,10劑/瓶 × 50瓶/盒 × 508盒；40瓶/盒 × 1盒,254400,970808,
疫苗及類毒素類,荷商葛蘭素史克藥廠股份有限公司台灣分公司,美瑞克,"AVARB166AA, AVARB166A",990331.0,1劑/瓶 × 100瓶/盒,1劑/瓶 × 100瓶/盒 × 427盒；20瓶/盒 × 1盒,42720,970812,
疫苗及類毒素類,荷商葛蘭素史克藥廠股份有限公司台灣分公司,美瑞克,"AVARB166AB, AVARB166A",990430.0,1劑/瓶 × 100瓶/盒,1劑/瓶 × 100瓶/盒 × 501盒；20瓶/盒 × 1盒,50120,970812,
血液製劑類,泛泰醫療產品有限公司,百特威保500U抗抑制子凝血複合物,VNF2H007,990228.0,500 U/瓶/盒,"500 U/瓶/盒 × 2,120盒",2120,970916,
血液製劑類,泛泰醫療產品有限公司,百特伊美耐高純度第九凝血因子注射劑600國際單位,VNC1H008,990131.0,600 IU/瓶/盒,600 IU/瓶/盒 × 604盒,604,971008,
疫苗及類毒素類,賽諾菲安萬特股份有限公司,巴斯德五合一疫苗(白喉、百日咳、破傷風、小兒麻痺及b型流行性感冒嗜血桿菌疫苗）,"C2944AB, C2944A",990630.0,1劑/0.5 mL/瓶/盒,"1劑/0.5 mL/瓶/盒 × 107,060盒",107060,971006,
血液製劑類,禾利行股份有限公司,百合血清蛋白,A121018,991231.0,50 mL/瓶/盒,"50 mL/瓶/盒 × 5,996盒",5996,970804,
